script_id,field_type,action
247,fire,walk_on
249,fire,walk_on
256,fire,walk_on
265,fire,walk_on
273,fire,walk_on
277,fire,walk_on
281,fire,walk_on
294,fire,walk_on
301,fire,walk_on
305,fire,walk_on
307,fire,walk_on
311,fire,walk_on
315,fire,walk_on
316,fire,walk_on
319,fire,walk_on
323,fire,walk_on
341,fire,walk_on
345,fire,walk_on
349,fire,walk_on
353,fire,walk_on
354,fire,walk_on
358,fire,walk_on
374,fire,walk_on
378,fire,walk_on
384,fire,walk_on
388,fire,walk_on
390,fire,walk_on
394,fire,walk_on
398,fire,walk_on
399,fire,walk_on
400,fire,walk_on
401,fire,walk_on
402,fire,walk_on
403,fire,walk_on
404,fire,walk_on
405,fire,walk_on
1434,fire,walk_on
1441,fire,walk_on
1459,fire,walk_on
1464,fire,walk_on
1500,fire,walk_on
1502,fire,walk_on
1511,fire,walk_on
1535,fire,walk_on
1540,fire,walk_on
1544,fire,walk_on
1554,fire,walk_on
1578,fire,walk_on
