source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- ankrahmun|boat~boat: (1 waypoints) ---
ankrahmun|boat~boat:,node,33091,32884,6,

# --- ankrahmun|depot~boat: (14 waypoints) ---
ankrahmun|depot~boat:,node,33126,32849,7,
ankrahmun|depot~boat:,node,33125,32854,7,
ankrahmun|depot~boat:,node,33117,32854,7,
ankrahmun|depot~boat:,node,33111,32852,7,
ankrahmun|depot~boat:,node,33104,32851,7,
ankrahmun|depot~boat:,node,33097,32851,7,
ankrahmun|depot~boat:,node,33090,32851,7,
ankrahmun|depot~boat:,node,33089,32857,7,
ankrahmun|depot~boat:,node,33089,32864,7,
ankrahmun|depot~boat:,node,33088,32871,7,
ankrahmun|depot~boat:,node,33084,32877,7,
ankrahmun|depot~boat:,ladder,33084,32877,7,
ankrahmun|depot~boat:,node,33085,32882,6,
ankrahmun|depot~boat:,node,33091,32884,6,

# --- ankrahmun|bank~tools: (3 waypoints) ---
ankrahmun|bank~tools:,node,33129,32817,6,
ankrahmun|bank~tools:,node,33127,32813,6,
ankrahmun|bank~tools:,stand,33127,32813,6,

# --- ankrahmun|tools~depot: (6 waypoints) ---
ankrahmun|tools~depot:,node,33129,32819,6,
ankrahmun|tools~depot:,node,33127,32825,6,
ankrahmun|tools~depot:,stand,33127,32826,6,
ankrahmun|tools~depot:,node,33127,32833,7,
ankrahmun|tools~depot:,node,33127,32842,7,
ankrahmun|tools~depot:,stand,33127,32842,7,

# --- ankrahmun|potions~boat: (18 waypoints) ---
ankrahmun|potions~boat:,stand,33131,32816,5,
ankrahmun|potions~boat:,node,33127,32825,6,
ankrahmun|potions~boat:,stand,33127,32826,6,
ankrahmun|potions~boat:,node,33123,32829,7,
ankrahmun|potions~boat:,node,33117,32831,7,
ankrahmun|potions~boat:,node,33115,32838,7,
ankrahmun|potions~boat:,node,33115,32847,7,
ankrahmun|potions~boat:,node,33111,32851,7,
ankrahmun|potions~boat:,node,33104,32851,7,
ankrahmun|potions~boat:,node,33097,32851,7,
ankrahmun|potions~boat:,node,33090,32851,7,
ankrahmun|potions~boat:,node,33089,32857,7,
ankrahmun|potions~boat:,node,33089,32864,7,
ankrahmun|potions~boat:,node,33088,32871,7,
ankrahmun|potions~boat:,node,33084,32877,7,
ankrahmun|potions~boat:,ladder,33084,32877,7,
ankrahmun|potions~boat:,node,33085,32882,6,
ankrahmun|potions~boat:,node,33091,32884,6,

# --- ankrahmun|runes~boat: (18 waypoints) ---
ankrahmun|runes~boat:,stand,33131,32816,5,
ankrahmun|runes~boat:,node,33127,32825,6,
ankrahmun|runes~boat:,stand,33127,32826,6,
ankrahmun|runes~boat:,node,33123,32829,7,
ankrahmun|runes~boat:,node,33117,32831,7,
ankrahmun|runes~boat:,node,33115,32838,7,
ankrahmun|runes~boat:,node,33115,32847,7,
ankrahmun|runes~boat:,node,33111,32851,7,
ankrahmun|runes~boat:,node,33104,32851,7,
ankrahmun|runes~boat:,node,33097,32851,7,
ankrahmun|runes~boat:,node,33090,32851,7,
ankrahmun|runes~boat:,node,33089,32857,7,
ankrahmun|runes~boat:,node,33089,32864,7,
ankrahmun|runes~boat:,node,33088,32871,7,
ankrahmun|runes~boat:,node,33084,32877,7,
ankrahmun|runes~boat:,ladder,33084,32877,7,
ankrahmun|runes~boat:,node,33085,32882,6,
ankrahmun|runes~boat:,node,33091,32884,6,

# --- ankrahmun|bank~boat: (17 waypoints) ---
ankrahmun|bank~boat:,node,33127,32825,6,
ankrahmun|bank~boat:,stand,33127,32826,6,
ankrahmun|bank~boat:,node,33123,32829,7,
ankrahmun|bank~boat:,node,33117,32831,7,
ankrahmun|bank~boat:,node,33115,32838,7,
ankrahmun|bank~boat:,node,33115,32847,7,
ankrahmun|bank~boat:,node,33111,32851,7,
ankrahmun|bank~boat:,node,33104,32851,7,
ankrahmun|bank~boat:,node,33097,32851,7,
ankrahmun|bank~boat:,node,33090,32851,7,
ankrahmun|bank~boat:,node,33089,32857,7,
ankrahmun|bank~boat:,node,33089,32864,7,
ankrahmun|bank~boat:,node,33088,32871,7,
ankrahmun|bank~boat:,node,33084,32877,7,
ankrahmun|bank~boat:,ladder,33084,32877,7,
ankrahmun|bank~boat:,node,33085,32882,6,
ankrahmun|bank~boat:,node,33091,32884,6,

# --- ankrahmun|loot~boat: (18 waypoints) ---
ankrahmun|loot~boat:,node,33132,32818,6,
ankrahmun|loot~boat:,node,33127,32825,6,
ankrahmun|loot~boat:,stand,33127,32826,6,
ankrahmun|loot~boat:,node,33123,32829,7,
ankrahmun|loot~boat:,node,33117,32831,7,
ankrahmun|loot~boat:,node,33115,32838,7,
ankrahmun|loot~boat:,node,33115,32847,7,
ankrahmun|loot~boat:,node,33111,32851,7,
ankrahmun|loot~boat:,node,33104,32851,7,
ankrahmun|loot~boat:,node,33097,32851,7,
ankrahmun|loot~boat:,node,33090,32851,7,
ankrahmun|loot~boat:,node,33089,32857,7,
ankrahmun|loot~boat:,node,33089,32864,7,
ankrahmun|loot~boat:,node,33088,32871,7,
ankrahmun|loot~boat:,node,33084,32877,7,
ankrahmun|loot~boat:,ladder,33084,32877,7,
ankrahmun|loot~boat:,node,33085,32882,6,
ankrahmun|loot~boat:,node,33091,32884,6,

# --- ankrahmun|food~boat: (17 waypoints) ---
ankrahmun|food~boat:,node,33127,32825,6,
ankrahmun|food~boat:,stand,33127,32826,6,
ankrahmun|food~boat:,node,33123,32829,7,
ankrahmun|food~boat:,node,33117,32831,7,
ankrahmun|food~boat:,node,33115,32838,7,
ankrahmun|food~boat:,node,33115,32847,7,
ankrahmun|food~boat:,node,33111,32851,7,
ankrahmun|food~boat:,node,33104,32851,7,
ankrahmun|food~boat:,node,33097,32851,7,
ankrahmun|food~boat:,node,33090,32851,7,
ankrahmun|food~boat:,node,33089,32857,7,
ankrahmun|food~boat:,node,33089,32864,7,
ankrahmun|food~boat:,node,33088,32871,7,
ankrahmun|food~boat:,node,33084,32877,7,
ankrahmun|food~boat:,ladder,33084,32877,7,
ankrahmun|food~boat:,node,33085,32882,6,
ankrahmun|food~boat:,node,33091,32884,6,

# --- ankrahmun|ammo~boat: (24 waypoints) ---
ankrahmun|ammo~boat:,node,33150,32809,4,
ankrahmun|ammo~boat:,stand,33149,32809,4,
ankrahmun|ammo~boat:,stand,33151,32809,5,
ankrahmun|ammo~boat:,node,33146,32811,6,
ankrahmun|ammo~boat:,stand,33145,32811,6,
ankrahmun|ammo~boat:,node,33142,32813,7,
ankrahmun|ammo~boat:,node,33141,32824,7,
ankrahmun|ammo~boat:,node,33138,32829,7,
ankrahmun|ammo~boat:,node,33130,32829,7,
ankrahmun|ammo~boat:,node,33123,32829,7,
ankrahmun|ammo~boat:,node,33117,32831,7,
ankrahmun|ammo~boat:,node,33115,32838,7,
ankrahmun|ammo~boat:,node,33115,32847,7,
ankrahmun|ammo~boat:,node,33111,32851,7,
ankrahmun|ammo~boat:,node,33104,32851,7,
ankrahmun|ammo~boat:,node,33097,32851,7,
ankrahmun|ammo~boat:,node,33090,32851,7,
ankrahmun|ammo~boat:,node,33089,32857,7,
ankrahmun|ammo~boat:,node,33089,32864,7,
ankrahmun|ammo~boat:,node,33088,32871,7,
ankrahmun|ammo~boat:,node,33084,32877,7,
ankrahmun|ammo~boat:,ladder,33084,32877,7,
ankrahmun|ammo~boat:,node,33085,32882,6,
ankrahmun|ammo~boat:,node,33091,32884,6,

# --- ankrahmun|trainers~boat: (27 waypoints) ---
ankrahmun|trainers~boat:,node,33165,32815,4,
ankrahmun|trainers~boat:,node,33158,32815,4,
ankrahmun|trainers~boat:,node,33153,32813,4,
ankrahmun|trainers~boat:,node,33149,32810,4,
ankrahmun|trainers~boat:,stand,33149,32809,4,
ankrahmun|trainers~boat:,stand,33151,32809,5,
ankrahmun|trainers~boat:,node,33146,32811,6,
ankrahmun|trainers~boat:,stand,33145,32811,6,
ankrahmun|trainers~boat:,node,33142,32813,7,
ankrahmun|trainers~boat:,node,33141,32824,7,
ankrahmun|trainers~boat:,node,33138,32829,7,
ankrahmun|trainers~boat:,node,33130,32829,7,
ankrahmun|trainers~boat:,node,33123,32829,7,
ankrahmun|trainers~boat:,node,33117,32831,7,
ankrahmun|trainers~boat:,node,33115,32838,7,
ankrahmun|trainers~boat:,node,33115,32847,7,
ankrahmun|trainers~boat:,node,33111,32851,7,
ankrahmun|trainers~boat:,node,33104,32851,7,
ankrahmun|trainers~boat:,node,33097,32851,7,
ankrahmun|trainers~boat:,node,33090,32851,7,
ankrahmun|trainers~boat:,node,33089,32857,7,
ankrahmun|trainers~boat:,node,33089,32864,7,
ankrahmun|trainers~boat:,node,33088,32871,7,
ankrahmun|trainers~boat:,node,33084,32877,7,
ankrahmun|trainers~boat:,ladder,33084,32877,7,
ankrahmun|trainers~boat:,node,33085,32882,6,
ankrahmun|trainers~boat:,node,33091,32884,6,

# --- ankrahmun|temple~boat: (26 waypoints) ---
ankrahmun|temple~boat:,node,33195,32851,8,
ankrahmun|temple~boat:,stand,33195,32850,8,
ankrahmun|temple~boat:,node,33196,32854,7,
ankrahmun|temple~boat:,node,33193,32859,7,
ankrahmun|temple~boat:,node,33186,32862,7,
ankrahmun|temple~boat:,node,33186,32868,7,
ankrahmun|temple~boat:,node,33178,32868,7,
ankrahmun|temple~boat:,node,33170,32868,7,
ankrahmun|temple~boat:,node,33162,32868,7,
ankrahmun|temple~boat:,node,33157,32865,7,
ankrahmun|temple~boat:,node,33156,32857,7,
ankrahmun|temple~boat:,node,33146,32856,7,
ankrahmun|temple~boat:,node,33136,32855,7,
ankrahmun|temple~boat:,node,33125,32854,7,
ankrahmun|temple~boat:,node,33117,32854,7,
ankrahmun|temple~boat:,node,33111,32852,7,
ankrahmun|temple~boat:,node,33104,32851,7,
ankrahmun|temple~boat:,node,33097,32851,7,
ankrahmun|temple~boat:,node,33090,32851,7,
ankrahmun|temple~boat:,node,33089,32857,7,
ankrahmun|temple~boat:,node,33089,32864,7,
ankrahmun|temple~boat:,node,33088,32871,7,
ankrahmun|temple~boat:,node,33084,32877,7,
ankrahmun|temple~boat:,ladder,33084,32877,7,
ankrahmun|temple~boat:,node,33085,32882,6,
ankrahmun|temple~boat:,node,33091,32884,6,

# --- ankrahmun|east.gate~boat: (33 waypoints) ---
ankrahmun|east.gate~boat:,node,33240,32798,7,
ankrahmun|east.gate~boat:,stand,33240,32799,7,
ankrahmun|east.gate~boat:,stand,33240,32803,6,
ankrahmun|east.gate~boat:,node,33237,32808,7,
ankrahmun|east.gate~boat:,node,33231,32813,7,
ankrahmun|east.gate~boat:,node,33231,32820,7,
ankrahmun|east.gate~boat:,node,33220,32820,7,
ankrahmun|east.gate~boat:,node,33210,32820,7,
ankrahmun|east.gate~boat:,node,33200,32820,7,
ankrahmun|east.gate~boat:,node,33190,32820,7,
ankrahmun|east.gate~boat:,node,33183,32823,7,
ankrahmun|east.gate~boat:,node,33177,32825,7,
ankrahmun|east.gate~boat:,node,33171,32827,7,
ankrahmun|east.gate~boat:,node,33163,32829,7,
ankrahmun|east.gate~boat:,node,33154,32829,7,
ankrahmun|east.gate~boat:,node,33145,32829,7,
ankrahmun|east.gate~boat:,node,33138,32829,7,
ankrahmun|east.gate~boat:,node,33130,32829,7,
ankrahmun|east.gate~boat:,node,33123,32829,7,
ankrahmun|east.gate~boat:,node,33117,32831,7,
ankrahmun|east.gate~boat:,node,33115,32838,7,
ankrahmun|east.gate~boat:,node,33115,32847,7,
ankrahmun|east.gate~boat:,node,33111,32851,7,
ankrahmun|east.gate~boat:,node,33104,32851,7,
ankrahmun|east.gate~boat:,node,33097,32851,7,
ankrahmun|east.gate~boat:,node,33090,32851,7,
ankrahmun|east.gate~boat:,node,33089,32857,7,
ankrahmun|east.gate~boat:,node,33089,32864,7,
ankrahmun|east.gate~boat:,node,33088,32871,7,
ankrahmun|east.gate~boat:,node,33084,32877,7,
ankrahmun|east.gate~boat:,ladder,33084,32877,7,
ankrahmun|east.gate~boat:,node,33085,32882,6,
ankrahmun|east.gate~boat:,node,33091,32884,6,

# --- ankrahmun|north.gate~boat: (31 waypoints) ---
ankrahmun|north.gate~boat:,node,33153,32761,7,
ankrahmun|north.gate~boat:,stand,33153,32762,7,
ankrahmun|north.gate~boat:,stand,33153,32766,6,
ankrahmun|north.gate~boat:,node,33153,32771,7,
ankrahmun|north.gate~boat:,node,33153,32776,7,
ankrahmun|north.gate~boat:,node,33153,32781,7,
ankrahmun|north.gate~boat:,node,33146,32781,7,
ankrahmun|north.gate~boat:,node,33139,32781,7,
ankrahmun|north.gate~boat:,node,33139,32788,7,
ankrahmun|north.gate~boat:,node,33139,32795,7,
ankrahmun|north.gate~boat:,node,33139,32802,7,
ankrahmun|north.gate~boat:,node,33140,32808,7,
ankrahmun|north.gate~boat:,node,33140,32816,7,
ankrahmun|north.gate~boat:,node,33140,32824,7,
ankrahmun|north.gate~boat:,node,33140,32829,7,
ankrahmun|north.gate~boat:,node,33130,32829,7,
ankrahmun|north.gate~boat:,node,33123,32829,7,
ankrahmun|north.gate~boat:,node,33117,32831,7,
ankrahmun|north.gate~boat:,node,33115,32838,7,
ankrahmun|north.gate~boat:,node,33115,32847,7,
ankrahmun|north.gate~boat:,node,33111,32851,7,
ankrahmun|north.gate~boat:,node,33104,32851,7,
ankrahmun|north.gate~boat:,node,33097,32851,7,
ankrahmun|north.gate~boat:,node,33090,32851,7,
ankrahmun|north.gate~boat:,node,33089,32857,7,
ankrahmun|north.gate~boat:,node,33089,32864,7,
ankrahmun|north.gate~boat:,node,33088,32871,7,
ankrahmun|north.gate~boat:,node,33084,32877,7,
ankrahmun|north.gate~boat:,ladder,33084,32877,7,
ankrahmun|north.gate~boat:,node,33085,32882,6,
ankrahmun|north.gate~boat:,node,33091,32884,6,

# --- ankrahmun|west.gate~boat: (21 waypoints) ---
ankrahmun|west.gate~boat:,node,33087,32783,7,
ankrahmun|west.gate~boat:,stand,33087,32784,7,
ankrahmun|west.gate~boat:,stand,33087,32787,6,
ankrahmun|west.gate~boat:,node,33091,32792,7,
ankrahmun|west.gate~boat:,node,33098,32793,7,
ankrahmun|west.gate~boat:,node,33098,32801,7,
ankrahmun|west.gate~boat:,node,33098,32809,7,
ankrahmun|west.gate~boat:,node,33098,32817,7,
ankrahmun|west.gate~boat:,node,33098,32823,7,
ankrahmun|west.gate~boat:,node,33098,32829,7,
ankrahmun|west.gate~boat:,node,33093,32831,7,
ankrahmun|west.gate~boat:,node,33093,32839,7,
ankrahmun|west.gate~boat:,node,33093,32846,7,
ankrahmun|west.gate~boat:,node,33090,32851,7,
ankrahmun|west.gate~boat:,node,33089,32857,7,
ankrahmun|west.gate~boat:,node,33089,32864,7,
ankrahmun|west.gate~boat:,node,33088,32871,7,
ankrahmun|west.gate~boat:,node,33084,32877,7,
ankrahmun|west.gate~boat:,ladder,33084,32877,7,
ankrahmun|west.gate~boat:,node,33085,32882,6,
ankrahmun|west.gate~boat:,node,33091,32884,6,

# --- ankrahmun|depot~depot: (1 waypoints) ---
ankrahmun|depot~depot:,node,33125,32844,7,

# --- depot|ankrahmun|1: (1 waypoints) ---
depot|ankrahmun|1:,node,33125,32844,7,

# --- ankrahmun|boat~depot: (13 waypoints) ---
ankrahmun|boat~depot:,node,33085,32883,6,
ankrahmun|boat~depot:,node,33084,32878,6,
ankrahmun|boat~depot:,stand,33084,32877,6,
ankrahmun|boat~depot:,node,33088,32872,7,
ankrahmun|boat~depot:,node,33089,32864,7,
ankrahmun|boat~depot:,node,33089,32857,7,
ankrahmun|boat~depot:,node,33090,32851,7,
ankrahmun|boat~depot:,node,33097,32851,7,
ankrahmun|boat~depot:,node,33106,32851,7,
ankrahmun|boat~depot:,node,33113,32852,7,
ankrahmun|boat~depot:,node,33118,32854,7,
ankrahmun|boat~depot:,node,33125,32854,7,
ankrahmun|boat~depot:,node,33125,32844,7,

