source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- edron|towers~boat: (24 waypoints) ---
edron|towers~boat:,stand,33255,31838,7,
edron|towers~boat:,node,33248,31841,6,
edron|towers~boat:,stand,33247,31841,6,
edron|towers~boat:,node,33239,31841,7,
edron|towers~boat:,node,33230,31841,7,
edron|towers~boat:,node,33221,31841,7,
edron|towers~boat:,node,33213,31842,7,
edron|towers~boat:,node,33204,31843,7,
edron|towers~boat:,node,33197,31840,7,
edron|towers~boat:,node,33193,31836,7,
edron|towers~boat:,node,33192,31830,7,
edron|towers~boat:,node,33192,31824,7,
edron|towers~boat:,node,33196,31819,7,
edron|towers~boat:,node,33200,31814,7,
edron|towers~boat:,node,33200,31807,7,
edron|towers~boat:,node,33200,31800,7,
edron|towers~boat:,node,33200,31793,7,
edron|towers~boat:,node,33193,31789,7,
edron|towers~boat:,node,33190,31782,7,
edron|towers~boat:,node,33183,31777,7,
edron|towers~boat:,node,33175,31775,7,
edron|towers~boat:,ladder,33175,31775,7,
edron|towers~boat:,node,33175,31764,6,
edron|towers~boat:,stand,33175,31764,6,

# --- edron|bank~tools: (11 waypoints) ---
edron|bank~tools:,node,33171,31807,7,
edron|bank~tools:,node,33171,31812,7,
edron|bank~tools:,node,33173,31817,7,
edron|bank~tools:,node,33182,31819,7,
edron|bank~tools:,node,33191,31819,7,
edron|bank~tools:,node,33200,31819,7,
edron|bank~tools:,node,33208,31819,7,
edron|bank~tools:,stand,33209,31818,7,
edron|bank~tools:,node,33209,31809,6,
edron|bank~tools:,node,33214,31805,6,
edron|bank~tools:,stand,33214,31805,6,

# --- edron|tools~depot: (12 waypoints) ---
edron|tools~depot:,node,33209,31809,6,
edron|tools~depot:,node,33209,31817,6,
edron|tools~depot:,stand,33209,31818,6,
edron|tools~depot:,node,33200,31819,7,
edron|tools~depot:,node,33191,31819,7,
edron|tools~depot:,node,33182,31819,7,
edron|tools~depot:,node,33173,31817,7,
edron|tools~depot:,node,33170,31813,7,
edron|tools~depot:,stand,33169,31812,7,
edron|tools~depot:,node,33171,31808,8,
edron|tools~depot:,node,33168,31800,8,
edron|tools~depot:,stand,33168,31800,8,

# --- edron|boat~boat: (2 waypoints) ---
edron|boat~boat:,node,33176,31764,6,
edron|boat~boat:,stand,33176,31764,6,

# --- edron|temple~boat: (14 waypoints) ---
edron|temple~boat:,node,33210,31815,8,
edron|temple~boat:,stand,33210,31814,8,
edron|temple~boat:,node,33202,31813,7,
edron|temple~boat:,node,33202,31804,7,
edron|temple~boat:,node,33202,31795,7,
edron|temple~boat:,node,33198,31790,7,
edron|temple~boat:,node,33191,31787,7,
edron|temple~boat:,node,33191,31778,7,
edron|temple~boat:,node,33182,31777,7,
edron|temple~boat:,node,33175,31775,7,
edron|temple~boat:,ladder,33175,31775,7,
edron|temple~boat:,node,33176,31770,6,
edron|temple~boat:,node,33176,31764,6,
edron|temple~boat:,stand,33176,31764,6,

# --- edron|trainers~boat: (9 waypoints) ---
edron|trainers~boat:,node,33187,31790,7,
edron|trainers~boat:,node,33191,31785,7,
edron|trainers~boat:,node,33191,31778,7,
edron|trainers~boat:,node,33182,31776,7,
edron|trainers~boat:,node,33175,31775,7,
edron|trainers~boat:,ladder,33175,31775,7,
edron|trainers~boat:,node,33176,31770,6,
edron|trainers~boat:,node,33176,31764,6,
edron|trainers~boat:,stand,33176,31764,6,

# --- edron|bank~boat: (18 waypoints) ---
edron|bank~boat:,node,33172,31807,7,
edron|bank~boat:,node,33172,31816,7,
edron|bank~boat:,node,33178,31819,7,
edron|bank~boat:,node,33187,31819,7,
edron|bank~boat:,node,33195,31819,7,
edron|bank~boat:,node,33202,31816,7,
edron|bank~boat:,node,33202,31809,7,
edron|bank~boat:,node,33202,31802,7,
edron|bank~boat:,node,33202,31795,7,
edron|bank~boat:,node,33198,31790,7,
edron|bank~boat:,node,33191,31787,7,
edron|bank~boat:,node,33191,31779,7,
edron|bank~boat:,node,33183,31778,7,
edron|bank~boat:,node,33175,31775,7,
edron|bank~boat:,ladder,33175,31775,7,
edron|bank~boat:,node,33176,31770,6,
edron|bank~boat:,node,33176,31764,6,
edron|bank~boat:,stand,33176,31764,6,

# --- edron|depot~boat: (22 waypoints) ---
edron|depot~boat:,node,33167,31808,10,
edron|depot~boat:,stand,33166,31808,10,
edron|depot~boat:,stand,33167,31808,9,
edron|depot~boat:,node,33166,31812,8,
edron|depot~boat:,stand,33167,31812,8,
edron|depot~boat:,node,33172,31816,7,
edron|depot~boat:,node,33178,31819,7,
edron|depot~boat:,node,33187,31819,7,
edron|depot~boat:,node,33195,31819,7,
edron|depot~boat:,node,33202,31816,7,
edron|depot~boat:,node,33202,31809,7,
edron|depot~boat:,node,33202,31802,7,
edron|depot~boat:,node,33202,31795,7,
edron|depot~boat:,node,33198,31790,7,
edron|depot~boat:,node,33191,31787,7,
edron|depot~boat:,node,33191,31779,7,
edron|depot~boat:,node,33183,31778,7,
edron|depot~boat:,node,33175,31775,7,
edron|depot~boat:,ladder,33175,31775,7,
edron|depot~boat:,node,33176,31770,6,
edron|depot~boat:,node,33176,31764,6,
edron|depot~boat:,stand,33176,31764,6,

# --- edron|loot~boat: (12 waypoints) ---
edron|loot~boat:,node,33209,31797,6,
edron|loot~boat:,node,33209,31790,6,
edron|loot~boat:,stand,33209,31789,6,
edron|loot~boat:,node,33200,31790,7,
edron|loot~boat:,node,33191,31787,7,
edron|loot~boat:,node,33191,31778,7,
edron|loot~boat:,node,33182,31777,7,
edron|loot~boat:,node,33175,31775,7,
edron|loot~boat:,ladder,33175,31775,7,
edron|loot~boat:,node,33176,31770,6,
edron|loot~boat:,node,33176,31764,6,
edron|loot~boat:,stand,33176,31764,6,

# --- edron|ammo~boat: (12 waypoints) ---
edron|ammo~boat:,node,33209,31797,6,
edron|ammo~boat:,node,33209,31790,6,
edron|ammo~boat:,stand,33209,31789,6,
edron|ammo~boat:,node,33200,31790,7,
edron|ammo~boat:,node,33191,31787,7,
edron|ammo~boat:,node,33191,31778,7,
edron|ammo~boat:,node,33182,31777,7,
edron|ammo~boat:,node,33175,31775,7,
edron|ammo~boat:,ladder,33175,31775,7,
edron|ammo~boat:,node,33176,31770,6,
edron|ammo~boat:,node,33176,31764,6,
edron|ammo~boat:,stand,33176,31764,6,

# --- edron|bridge~boat: (25 waypoints) ---
edron|bridge~boat:,node,33243,31814,7,
edron|bridge~boat:,node,33243,31823,7,
edron|bridge~boat:,node,33235,31826,7,
edron|bridge~boat:,node,33235,31837,7,
edron|bridge~boat:,node,33231,31840,7,
edron|bridge~boat:,node,33223,31840,7,
edron|bridge~boat:,node,33216,31843,7,
edron|bridge~boat:,node,33207,31843,7,
edron|bridge~boat:,node,33199,31843,7,
edron|bridge~boat:,node,33194,31837,7,
edron|bridge~boat:,node,33191,31830,7,
edron|bridge~boat:,node,33191,31820,7,
edron|bridge~boat:,node,33201,31818,7,
edron|bridge~boat:,node,33201,31810,7,
edron|bridge~boat:,node,33201,31802,7,
