source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- darashia|west.exit~boat: (20 waypoints) ---
darashia|west.exit~boat:,node,33194,32431,7,
darashia|west.exit~boat:,node,33196,32437,7,
darashia|west.exit~boat:,node,33196,32444,7,
darashia|west.exit~boat:,node,33202,32448,7,
darashia|west.exit~boat:,node,33208,32453,7,
darashia|west.exit~boat:,node,33210,32460,7,
darashia|west.exit~boat:,node,33219,32460,7,
darashia|west.exit~boat:,node,33228,32460,7,
darashia|west.exit~boat:,node,33237,32460,7,
darashia|west.exit~boat:,node,33246,32460,7,
darashia|west.exit~boat:,node,33255,32460,7,
darashia|west.exit~boat:,node,33264,32460,7,
darashia|west.exit~boat:,node,33267,32466,7,
darashia|west.exit~boat:,node,33273,32469,7,
darashia|west.exit~boat:,node,33281,32469,7,
darashia|west.exit~boat:,node,33288,32469,7,
darashia|west.exit~boat:,node,33293,32473,7,
darashia|west.exit~boat:,ladder,33293,32473,7,
darashia|west.exit~boat:,node,33289,32481,6,
darashia|west.exit~boat:,stand,33289,32481,6,

# --- darashia|north.exit~boat: (19 waypoints) ---
darashia|north.exit~boat:,node,33244,32386,7,
darashia|north.exit~boat:,node,33245,32394,7,
darashia|north.exit~boat:,node,33246,32402,7,
darashia|north.exit~boat:,node,33247,32410,7,
darashia|north.exit~boat:,node,33250,32414,7,
darashia|north.exit~boat:,node,33253,32418,7,
darashia|north.exit~boat:,node,33254,32425,7,
darashia|north.exit~boat:,node,33255,32432,7,
darashia|north.exit~boat:,node,33260,32437,7,
darashia|north.exit~boat:,node,33262,32445,7,
darashia|north.exit~boat:,node,33264,32453,7,
darashia|north.exit~boat:,node,33266,32462,7,
darashia|north.exit~boat:,node,33271,32468,7,
darashia|north.exit~boat:,node,33280,32469,7,
darashia|north.exit~boat:,node,33288,32470,7,
darashia|north.exit~boat:,node,33293,32473,7,
darashia|north.exit~boat:,ladder,33293,32473,7,
darashia|north.exit~boat:,node,33290,32481,6,
darashia|north.exit~boat:,stand,33290,32481,6,

# --- darashia|boat~boat: (5 waypoints) ---
darashia|boat~boat:,node,33293,32473,7,
darashia|boat~boat:,ladder,33293,32473,7,
darashia|boat~boat:,node,33289,32476,6,
darashia|boat~boat:,node,33289,32481,6,
darashia|boat~boat:,stand,33289,32481,6,

# --- darashia|carpet~boat: (10 waypoints) ---
darashia|carpet~boat:,stand,33265,32441,6,
darashia|carpet~boat:,node,33265,32451,7,
darashia|carpet~boat:,node,33266,32462,7,
darashia|carpet~boat:,node,33274,32469,7,
darashia|carpet~boat:,node,33287,32470,7,
darashia|carpet~boat:,node,33293,32473,7,
darashia|carpet~boat:,ladder,33293,32473,7,
darashia|carpet~boat:,node,33289,32476,6,
darashia|carpet~boat:,node,33289,32481,6,
darashia|carpet~boat:,stand,33289,32481,6,

# --- darashia|depot~boat: (18 waypoints) ---
darashia|depot~boat:,node,33213,32454,7,
darashia|depot~boat:,stand,33213,32455,7,
darashia|depot~boat:,node,33214,32456,8,
darashia|depot~boat:,stand,33214,32455,8,
darashia|depot~boat:,node,33217,32449,7,
darashia|depot~boat:,node,33219,32457,7,
darashia|depot~boat:,node,33229,32458,7,
darashia|depot~boat:,node,33240,32458,7,
darashia|depot~boat:,node,33251,32458,7,
darashia|depot~boat:,node,33262,32458,7,
darashia|depot~boat:,node,33267,32464,7,
darashia|depot~boat:,node,33273,32469,7,
darashia|depot~boat:,node,33284,32469,7,
darashia|depot~boat:,node,33293,32473,7,
darashia|depot~boat:,ladder,33293,32473,7,
darashia|depot~boat:,node,33289,32476,6,
darashia|depot~boat:,node,33289,32481,6,
darashia|depot~boat:,stand,33289,32481,6,

# --- darashia|temple~boat: (20 waypoints) ---
darashia|temple~boat:,stand,33216,32451,1,
darashia|temple~boat:,stand,33212,32452,2,
darashia|temple~boat:,stand,33215,32453,3,
darashia|temple~boat:,stand,33212,32453,4,
darashia|temple~boat:,stand,33215,32453,5,
darashia|temple~boat:,stand,33212,32453,6,
darashia|temple~boat:,node,33217,32449,7,
darashia|temple~boat:,node,33219,32457,7,
darashia|temple~boat:,node,33229,32458,7,
darashia|temple~boat:,node,33240,32458,7,
darashia|temple~boat:,node,33251,32458,7,
darashia|temple~boat:,node,33262,32458,7,
darashia|temple~boat:,node,33267,32464,7,
darashia|temple~boat:,node,33273,32469,7,
darashia|temple~boat:,node,33284,32469,7,
darashia|temple~boat:,node,33293,32473,7,
darashia|temple~boat:,ladder,33293,32473,7,
darashia|temple~boat:,node,33289,32476,6,
darashia|temple~boat:,node,33289,32481,6,
darashia|temple~boat:,stand,33289,32481,6,

# --- darashia|loot.azil~boat: (15 waypoints) ---
darashia|loot.azil~boat:,node,33231,32435,7,
darashia|loot.azil~boat:,node,33240,32436,7,
darashia|loot.azil~boat:,node,33240,32444,7,
darashia|loot.azil~boat:,node,33240,32451,7,
darashia|loot.azil~boat:,node,33247,32458,7,
darashia|loot.azil~boat:,node,33257,32458,7,
darashia|loot.azil~boat:,node,33265,32460,7,
darashia|loot.azil~boat:,node,33267,32467,7,
darashia|loot.azil~boat:,node,33276,32469,7,
darashia|loot.azil~boat:,node,33286,32469,7,
darashia|loot.azil~boat:,node,33293,32473,7,
darashia|loot.azil~boat:,ladder,33293,32473,7,
darashia|loot.azil~boat:,node,33289,32476,6,
darashia|loot.azil~boat:,node,33289,32481,6,
darashia|loot.azil~boat:,stand,33289,32481,6,

# --- darashia|loot.habdel~boat: (15 waypoints) ---
darashia|loot.habdel~boat:,node,33231,32435,7,
darashia|loot.habdel~boat:,node,33240,32436,7,
darashia|loot.habdel~boat:,node,33240,32444,7,
darashia|loot.habdel~boat:,node,33240,32451,7,
darashia|loot.habdel~boat:,node,33247,32458,7,
darashia|loot.habdel~boat:,node,33257,32458,7,
darashia|loot.habdel~boat:,node,33265,32460,7,
darashia|loot.habdel~boat:,node,33267,32467,7,
darashia|loot.habdel~boat:,node,33276,32469,7,
darashia|loot.habdel~boat:,node,33286,32469,7,
darashia|loot.habdel~boat:,node,33293,32473,7,
darashia|loot.habdel~boat:,ladder,33293,32473,7,
darashia|loot.habdel~boat:,node,33289,32476,6,
darashia|loot.habdel~boat:,node,33289,32481,6,
darashia|loot.habdel~boat:,stand,33289,32481,6,

# --- darashia|ammo~boat: (15 waypoints) ---
darashia|ammo~boat:,node,33231,32435,7,
darashia|ammo~boat:,node,33240,32436,7,
darashia|ammo~boat:,node,33240,32444,7,
darashia|ammo~boat:,node,33240,32451,7,
darashia|ammo~boat:,node,33247,32458,7,
darashia|ammo~boat:,node,33257,32458,7,
darashia|ammo~boat:,node,33265,32460,7,
darashia|ammo~boat:,node,33267,32467,7,
darashia|ammo~boat:,node,33276,32469,7,
darashia|ammo~boat:,node,33286,32469,7,
darashia|ammo~boat:,node,33293,32473,7,
darashia|ammo~boat:,ladder,33293,32473,7,
darashia|ammo~boat:,node,33289,32476,6,
darashia|ammo~boat:,node,33289,32481,6,
darashia|ammo~boat:,stand,33289,32481,6,

# --- darashia|trainers~boat: (1 waypoints) ---
darashia|trainers~boat:,node,33239,32402,7,

# --- darashia|bank~boat: (27 waypoints) ---
darashia|bank~boat:,node,33217,32388,7,
darashia|bank~boat:,node,33217,32393,7,
darashia|bank~boat:,node,33217,32400,7,
darashia|bank~boat:,node,33217,32407,7,
darashia|bank~boat:,node,33217,32414,7,
darashia|bank~boat:,node,33224,32414,7,
darashia|bank~boat:,node,33231,32415,7,
darashia|bank~boat:,node,33233,32419,7,
darashia|bank~boat:,node,33233,32425,7,
darashia|bank~boat:,node,33233,32430,7,
darashia|bank~boat:,node,33234,32435,7,
darashia|bank~boat:,node,33241,32436,7,
darashia|bank~boat:,node,33248,32436,7,
darashia|bank~boat:,node,33255,32436,7,
darashia|bank~boat:,node,33261,32438,7,
darashia|bank~boat:,node,33262,32445,7,
darashia|bank~boat:,node,33263,32451,7,
darashia|bank~boat:,node,33264,32458,7,
darashia|bank~boat:,node,33266,32465,7,
darashia|bank~boat:,node,33272,32469,7,
darashia|bank~boat:,node,33279,32469,7,
