source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- liberty bay|boat~boat: (2 waypoints) ---
liberty bay|boat~boat:,node,32284,32893,6,
liberty bay|boat~boat:,stand,32285,32892,6,

# --- liberty bay|boat~meriana.exit: (17 waypoints) ---
liberty bay|boat~meriana.exit:,node,32277,32893,6,
liberty bay|boat~meriana.exit:,node,32277,32885,6,
liberty bay|boat~meriana.exit:,node,32277,32877,6,
liberty bay|boat~meriana.exit:,node,32284,32873,6,
liberty bay|boat~meriana.exit:,node,32292,32873,6,
liberty bay|boat~meriana.exit:,node,32300,32873,6,
liberty bay|boat~meriana.exit:,node,32305,32869,6,
liberty bay|boat~meriana.exit:,stand,32306,32868,6,
liberty bay|boat~meriana.exit:,node,32311,32868,7,
liberty bay|boat~meriana.exit:,node,32316,32866,7,
liberty bay|boat~meriana.exit:,node,32320,32862,7,
liberty bay|boat~meriana.exit:,node,32326,32859,7,
liberty bay|boat~meriana.exit:,node,32331,32856,7,
liberty bay|boat~meriana.exit:,node,32337,32853,7,
liberty bay|boat~meriana.exit:,node,32344,32853,7,
liberty bay|boat~meriana.exit:,node,32347,32857,7,
liberty bay|boat~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|depot~meriana.exit: (9 waypoints) ---
liberty bay|depot~meriana.exit:,node,32335,32837,7,
liberty bay|depot~meriana.exit:,stand,32336,32838,7,
liberty bay|depot~meriana.exit:,node,32336,32837,6,
liberty bay|depot~meriana.exit:,stand,32336,32838,6,
liberty bay|depot~meriana.exit:,node,32336,32844,7,
liberty bay|depot~meriana.exit:,node,32337,32852,7,
liberty bay|depot~meriana.exit:,node,32344,32853,7,
liberty bay|depot~meriana.exit:,node,32347,32857,7,
liberty bay|depot~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|potions~meriana.exit: (10 waypoints) ---
liberty bay|potions~meriana.exit:,node,32345,32815,7,
liberty bay|potions~meriana.exit:,node,32340,32817,7,
liberty bay|potions~meriana.exit:,node,32340,32823,7,
liberty bay|potions~meriana.exit:,node,32342,32828,7,
liberty bay|potions~meriana.exit:,node,32342,32834,7,
liberty bay|potions~meriana.exit:,node,32342,32841,7,
liberty bay|potions~meriana.exit:,node,32343,32847,7,
liberty bay|potions~meriana.exit:,node,32344,32853,7,
liberty bay|potions~meriana.exit:,node,32347,32857,7,
liberty bay|potions~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|runes~meriana.exit: (10 waypoints) ---
liberty bay|runes~meriana.exit:,node,32345,32815,7,
liberty bay|runes~meriana.exit:,node,32340,32817,7,
liberty bay|runes~meriana.exit:,node,32340,32823,7,
liberty bay|runes~meriana.exit:,node,32342,32828,7,
liberty bay|runes~meriana.exit:,node,32342,32834,7,
liberty bay|runes~meriana.exit:,node,32342,32841,7,
liberty bay|runes~meriana.exit:,node,32343,32847,7,
liberty bay|runes~meriana.exit:,node,32344,32853,7,
liberty bay|runes~meriana.exit:,node,32347,32857,7,
liberty bay|runes~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|ammo~meriana.exit: (13 waypoints) ---
liberty bay|ammo~meriana.exit:,node,32293,32826,7,
liberty bay|ammo~meriana.exit:,node,32300,32826,7,
liberty bay|ammo~meriana.exit:,node,32306,32827,7,
liberty bay|ammo~meriana.exit:,node,32310,32832,7,
liberty bay|ammo~meriana.exit:,node,32316,32834,7,
liberty bay|ammo~meriana.exit:,node,32323,32835,7,
liberty bay|ammo~meriana.exit:,node,32331,32836,7,
liberty bay|ammo~meriana.exit:,node,32335,32839,7,
liberty bay|ammo~meriana.exit:,node,32336,32844,7,
liberty bay|ammo~meriana.exit:,node,32337,32852,7,
liberty bay|ammo~meriana.exit:,node,32344,32853,7,
liberty bay|ammo~meriana.exit:,node,32347,32857,7,
liberty bay|ammo~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|loot~meriana.exit: (13 waypoints) ---
liberty bay|loot~meriana.exit:,node,32293,32826,7,
liberty bay|loot~meriana.exit:,node,32300,32826,7,
liberty bay|loot~meriana.exit:,node,32306,32827,7,
liberty bay|loot~meriana.exit:,node,32310,32832,7,
liberty bay|loot~meriana.exit:,node,32316,32834,7,
liberty bay|loot~meriana.exit:,node,32323,32835,7,
liberty bay|loot~meriana.exit:,node,32331,32836,7,
liberty bay|loot~meriana.exit:,node,32335,32839,7,
liberty bay|loot~meriana.exit:,node,32336,32844,7,
liberty bay|loot~meriana.exit:,node,32337,32852,7,
liberty bay|loot~meriana.exit:,node,32344,32853,7,
liberty bay|loot~meriana.exit:,node,32347,32857,7,
liberty bay|loot~meriana.exit:,stand,32347,32857,7,

# --- liberty bay|temple~meriana.exit: (12 waypoints) ---
liberty bay|temple~meriana.exit:,node,32314,32820,6,
liberty bay|temple~meriana.exit:,stand,32314,32821,6,
liberty bay|temple~meriana.exit:,node,32315,32826,7,
liberty bay|temple~meriana.exit:,node,32318,32832,7,
liberty bay|temple~meriana.exit:,node,32323,32835,7,
liberty bay|temple~meriana.exit:,node,32331,32836,7,
