source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- port hope|south.exit~boat: (18 waypoints) ---
port hope|south.exit~boat:,node,32643,32791,7,
port hope|south.exit~boat:,node,32636,32791,7,
port hope|south.exit~boat:,node,32624,32791,7,
port hope|south.exit~boat:,node,32613,32790,7,
port hope|south.exit~boat:,node,32603,32789,7,
port hope|south.exit~boat:,node,32592,32788,7,
port hope|south.exit~boat:,node,32586,32784,7,
port hope|south.exit~boat:,node,32578,32784,7,
port hope|south.exit~boat:,node,32572,32787,7,
port hope|south.exit~boat:,ladder,32572,32787,7,
port hope|south.exit~boat:,node,32568,32790,6,
port hope|south.exit~boat:,node,32559,32790,6,
port hope|south.exit~boat:,node,32551,32789,6,
port hope|south.exit~boat:,node,32543,32789,6,
port hope|south.exit~boat:,node,32538,32792,6,
port hope|south.exit~boat:,node,32532,32792,6,
port hope|south.exit~boat:,node,32529,32784,6,
port hope|south.exit~boat:,stand,32529,32784,6,

# --- port hope|bank~tools: (4 waypoints) ---
port hope|bank~tools:,node,32630,32742,6,
port hope|bank~tools:,ladder,32630,32742,6,
port hope|bank~tools:,node,32632,32741,5,
port hope|bank~tools:,stand,32632,32741,5,

# --- port hope|tools~depot: (7 waypoints) ---
port hope|tools~depot:,node,32631,32742,5,
port hope|tools~depot:,stand,32630,32742,5,
port hope|tools~depot:,node,32627,32746,6,
port hope|tools~depot:,node,32625,32748,6,
port hope|tools~depot:,stand,32625,32749,6,
port hope|tools~depot:,node,32622,32744,7,
port hope|tools~depot:,stand,32622,32744,7,

# --- port hope|east.exit~boat: (22 waypoints) ---
port hope|east.exit~boat:,node,32635,32752,7,
port hope|east.exit~boat:,node,32623,32752,7,
port hope|east.exit~boat:,node,32618,32755,7,
port hope|east.exit~boat:,node,32616,32761,7,
port hope|east.exit~boat:,node,32607,32761,7,
port hope|east.exit~boat:,node,32600,32763,7,
port hope|east.exit~boat:,node,32595,32769,7,
port hope|east.exit~boat:,node,32588,32769,7,
port hope|east.exit~boat:,node,32581,32769,7,
port hope|east.exit~boat:,node,32578,32766,7,
port hope|east.exit~boat:,ladder,32578,32766,7,
port hope|east.exit~boat:,node,32573,32768,6,
port hope|east.exit~boat:,node,32563,32767,6,
port hope|east.exit~boat:,node,32557,32771,6,
port hope|east.exit~boat:,node,32556,32778,6,
port hope|east.exit~boat:,node,32556,32784,6,
port hope|east.exit~boat:,node,32549,32786,6,
port hope|east.exit~boat:,node,32543,32783,6,
port hope|east.exit~boat:,node,32538,32779,6,
port hope|east.exit~boat:,node,32532,32780,6,
port hope|east.exit~boat:,node,32529,32784,6,
port hope|east.exit~boat:,stand,32529,32784,6,

# --- port hope|boat~boat: (2 waypoints) ---
port hope|boat~boat:,node,32529,32784,6,
port hope|boat~boat:,stand,32529,32784,6,

# --- port hope|north.exit~boat: (17 waypoints) ---
port hope|north.exit~boat:,node,32617,32752,7,
port hope|north.exit~boat:,node,32617,32762,7,
port hope|north.exit~boat:,node,32608,32762,7,
port hope|north.exit~boat:,node,32599,32763,7,
port hope|north.exit~boat:,node,32596,32769,7,
port hope|north.exit~boat:,node,32586,32770,7,
port hope|north.exit~boat:,node,32578,32766,7,
port hope|north.exit~boat:,ladder,32578,32766,7,
port hope|north.exit~boat:,node,32573,32768,6,
port hope|north.exit~boat:,node,32562,32767,6,
port hope|north.exit~boat:,node,32557,32774,6,
port hope|north.exit~boat:,node,32556,32782,6,
port hope|north.exit~boat:,node,32547,32786,6,
port hope|north.exit~boat:,node,32542,32780,6,
port hope|north.exit~boat:,node,32535,32779,6,
port hope|north.exit~boat:,node,32529,32784,6,
port hope|north.exit~boat:,stand,32529,32784,6,

# --- port hope|temple~boat: (14 waypoints) ---
port hope|temple~boat:,node,32592,32752,7,
port hope|temple~boat:,node,32584,32754,7,
port hope|temple~boat:,node,32584,32762,7,
port hope|temple~boat:,node,32578,32766,7,
port hope|temple~boat:,ladder,32578,32766,7,
port hope|temple~boat:,node,32574,32768,6,
port hope|temple~boat:,node,32562,32767,6,
port hope|temple~boat:,node,32556,32774,6,
port hope|temple~boat:,node,32556,32783,6,
port hope|temple~boat:,node,32545,32786,6,
port hope|temple~boat:,node,32540,32779,6,
port hope|temple~boat:,node,32532,32779,6,
port hope|temple~boat:,node,32530,32784,6,
port hope|temple~boat:,stand,32530,32784,6,

# --- port hope|depot~boat: (21 waypoints) ---
port hope|depot~boat:,node,32625,32742,5,
port hope|depot~boat:,stand,32626,32742,5,
port hope|depot~boat:,node,32625,32748,6,
port hope|depot~boat:,stand,32625,32749,6,
port hope|depot~boat:,node,32621,32753,7,
port hope|depot~boat:,node,32618,32760,7,
port hope|depot~boat:,node,32609,32762,7,
port hope|depot~boat:,node,32601,32762,7,
port hope|depot~boat:,node,32593,32762,7,
port hope|depot~boat:,node,32584,32763,7,
port hope|depot~boat:,node,32578,32766,7,
port hope|depot~boat:,ladder,32578,32766,7,
port hope|depot~boat:,node,32574,32768,6,
port hope|depot~boat:,node,32562,32767,6,
port hope|depot~boat:,node,32556,32774,6,
port hope|depot~boat:,node,32556,32783,6,
port hope|depot~boat:,node,32545,32786,6,
port hope|depot~boat:,node,32540,32779,6,
port hope|depot~boat:,node,32532,32779,6,
port hope|depot~boat:,node,32530,32784,6,
port hope|depot~boat:,stand,32530,32784,6,

# --- port hope|potions~boat: (21 waypoints) ---
port hope|potions~boat:,node,32625,32742,5,
port hope|potions~boat:,stand,32626,32742,5,
port hope|potions~boat:,node,32625,32748,6,
port hope|potions~boat:,stand,32625,32749,6,
port hope|potions~boat:,node,32621,32753,7,
port hope|potions~boat:,node,32618,32760,7,
