source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- yalahar|bank~tools: (11 waypoints) ---
yalahar|bank~tools:,node,32831,31248,7,
yalahar|bank~tools:,node,32831,31241,7,
yalahar|bank~tools:,node,32831,31234,7,
yalahar|bank~tools:,node,32822,31234,7,
yalahar|bank~tools:,node,32812,31234,7,
yalahar|bank~tools:,node,32802,31234,7,
yalahar|bank~tools:,node,32790,31233,7,
yalahar|bank~tools:,node,32790,31238,7,
yalahar|bank~tools:,stand,32790,31239,7,
yalahar|bank~tools:,node,32790,31238,6,
yalahar|bank~tools:,stand,32790,31238,6,

# --- yalahar|tools~depot: (7 waypoints) ---
yalahar|tools~depot:,stand,32790,31239,6,
yalahar|tools~depot:,node,32790,31233,7,
yalahar|tools~depot:,node,32800,31234,7,
yalahar|tools~depot:,node,32800,31241,7,
yalahar|tools~depot:,node,32798,31246,7,
yalahar|tools~depot:,node,32797,31248,7,
yalahar|tools~depot:,node,32791,31247,7,

# --- yalahar|bank~boat: (14 waypoints) ---
yalahar|bank~boat:,stand,32825,31247,6,
yalahar|bank~boat:,node,32828,31249,7,
yalahar|bank~boat:,node,32830,31254,7,
yalahar|bank~boat:,node,32823,31255,7,
yalahar|bank~boat:,node,32817,31255,7,
yalahar|bank~boat:,node,32810,31255,7,
yalahar|bank~boat:,node,32804,31255,7,
yalahar|bank~boat:,stand,32803,31255,7,
yalahar|bank~boat:,node,32806,31259,6,
yalahar|bank~boat:,node,32811,31265,6,
yalahar|bank~boat:,node,32813,31272,6,
yalahar|bank~boat:,door,32817,31275,6,
yalahar|bank~boat:,ladder,32815,31277,6,
yalahar|bank~boat:,stand,32815,31278,5,

# --- yalahar|depot~boat: (16 waypoints) ---
yalahar|depot~boat:,node,32798,31247,7,
yalahar|depot~boat:,stand,32797,31246,7,
yalahar|depot~boat:,node,32778,31248,5,
yalahar|depot~boat:,stand,32777,31247,5,
yalahar|depot~boat:,node,32785,31249,6,
yalahar|depot~boat:,stand,32786,31248,6,
yalahar|depot~boat:,node,32795,31249,7,
yalahar|depot~boat:,node,32800,31250,7,
yalahar|depot~boat:,node,32802,31254,7,
yalahar|depot~boat:,stand,32802,31255,7,
yalahar|depot~boat:,node,32806,31259,6,
yalahar|depot~boat:,node,32811,31265,6,
yalahar|depot~boat:,node,32813,31272,6,
yalahar|depot~boat:,door,32817,31275,6,
yalahar|depot~boat:,ladder,32815,31277,6,
yalahar|depot~boat:,stand,32815,31278,5,

# --- yalahar|ammo~boat: (17 waypoints) ---
yalahar|ammo~boat:,stand,32789,31239,3,
yalahar|ammo~boat:,stand,32790,31239,4,
yalahar|ammo~boat:,stand,32789,31239,5,
yalahar|ammo~boat:,stand,32790,31239,6,
yalahar|ammo~boat:,node,32790,31233,7,
yalahar|ammo~boat:,node,32795,31233,7,
yalahar|ammo~boat:,node,32800,31234,7,
yalahar|ammo~boat:,node,32801,31239,7,
yalahar|ammo~boat:,node,32802,31246,7,
yalahar|ammo~boat:,node,32802,31254,7,
yalahar|ammo~boat:,stand,32802,31255,7,
yalahar|ammo~boat:,node,32806,31259,6,
yalahar|ammo~boat:,node,32811,31265,6,
yalahar|ammo~boat:,node,32813,31272,6,
yalahar|ammo~boat:,door,32817,31275,6,
yalahar|ammo~boat:,ladder,32815,31277,6,
yalahar|ammo~boat:,stand,32815,31278,5,

# --- yalahar|runes~boat: (15 waypoints) ---
yalahar|runes~boat:,stand,32789,31239,5,
yalahar|runes~boat:,stand,32790,31239,6,
yalahar|runes~boat:,node,32790,31233,7,
yalahar|runes~boat:,node,32795,31233,7,
yalahar|runes~boat:,node,32800,31234,7,
yalahar|runes~boat:,node,32801,31239,7,
yalahar|runes~boat:,node,32802,31246,7,
yalahar|runes~boat:,node,32802,31254,7,
yalahar|runes~boat:,stand,32802,31255,7,
yalahar|runes~boat:,node,32806,31259,6,
yalahar|runes~boat:,node,32811,31265,6,
yalahar|runes~boat:,node,32813,31272,6,
yalahar|runes~boat:,door,32817,31275,6,
yalahar|runes~boat:,ladder,32815,31277,6,
yalahar|runes~boat:,stand,32815,31278,5,

# --- yalahar|potions~boat: (15 waypoints) ---
yalahar|potions~boat:,stand,32789,31239,5,
yalahar|potions~boat:,stand,32790,31239,6,
yalahar|potions~boat:,node,32790,31233,7,
yalahar|potions~boat:,node,32795,31233,7,
yalahar|potions~boat:,node,32800,31234,7,
yalahar|potions~boat:,node,32801,31239,7,
yalahar|potions~boat:,node,32802,31246,7,
yalahar|potions~boat:,node,32802,31254,7,
yalahar|potions~boat:,stand,32802,31255,7,
yalahar|potions~boat:,node,32806,31259,6,
yalahar|potions~boat:,node,32811,31265,6,
yalahar|potions~boat:,node,32813,31272,6,
yalahar|potions~boat:,door,32817,31275,6,
yalahar|potions~boat:,ladder,32815,31277,6,
yalahar|potions~boat:,stand,32815,31278,5,

# --- yalahar|food~boat: (22 waypoints) ---
yalahar|food~boat:,node,32859,31209,7,
yalahar|food~boat:,node,32859,31215,7,
yalahar|food~boat:,node,32858,31221,7,
yalahar|food~boat:,node,32857,31227,7,
yalahar|food~boat:,node,32854,31232,7,
yalahar|food~boat:,node,32851,31236,7,
yalahar|food~boat:,node,32848,31240,7,
yalahar|food~boat:,node,32845,31244,7,
