source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- krailos|temple~depot: (1 waypoints) ---
krailos|temple~depot:,stand,33657,31665,8,

# --- krailos|depot~temple: (1 waypoints) ---
krailos|depot~temple:,stand,33657,31665,8,

# --- krailos|temple~boat: (33 waypoints) ---
krailos|temple~boat:,stand,33657,31665,8,
krailos|temple~boat:,stand,33657,31657,8,
krailos|temple~boat:,node,33651,31662,7,
krailos|temple~boat:,node,33645,31665,7,
krailos|temple~boat:,node,33639,31665,7,
krailos|temple~boat:,node,33633,31665,7,
krailos|temple~boat:,node,33627,31665,7,
krailos|temple~boat:,node,33621,31665,7,
krailos|temple~boat:,node,33615,31667,7,
krailos|temple~boat:,node,33609,31667,7,
krailos|temple~boat:,node,33603,31667,7,
krailos|temple~boat:,node,33597,31667,7,
krailos|temple~boat:,node,33591,31667,7,
krailos|temple~boat:,node,33585,31667,7,
krailos|temple~boat:,node,33579,31667,7,
krailos|temple~boat:,node,33573,31669,7,
krailos|temple~boat:,node,33567,31669,7,
krailos|temple~boat:,node,33561,31669,7,
krailos|temple~boat:,node,33555,31670,7,
krailos|temple~boat:,node,33549,31675,7,
krailos|temple~boat:,node,33543,31679,7,
krailos|temple~boat:,node,33540,31685,7,
krailos|temple~boat:,node,33536,31691,7,
krailos|temple~boat:,node,33530,31693,7,
krailos|temple~boat:,node,33525,31699,7,
krailos|temple~boat:,node,33519,31699,7,
krailos|temple~boat:,node,33513,31701,7,
krailos|temple~boat:,node,33507,31705,7,
krailos|temple~boat:,stand,33501,31708,7,
krailos|temple~boat:,use_with,33498,31710,7,0
krailos|temple~boat:,stand,33498,31710,7,
krailos|temple~boat:,node,33492,31711,6,
krailos|temple~boat:,stand,33492,31712,6,

# --- krailos|boat~temple: (33 waypoints) ---
krailos|boat~temple:,stand,33492,31712,6,
krailos|boat~temple:,stand,33498,31710,6,
krailos|boat~temple:,node,33504,31707,7,
krailos|boat~temple:,node,33510,31706,7,
krailos|boat~temple:,node,33516,31701,7,
krailos|boat~temple:,node,33522,31699,7,
krailos|boat~temple:,node,33528,31697,7,
krailos|boat~temple:,node,33534,31696,7,
krailos|boat~temple:,node,33540,31696,7,
krailos|boat~temple:,node,33546,31696,7,
krailos|boat~temple:,node,33552,31696,7,
krailos|boat~temple:,node,33558,31696,7,
krailos|boat~temple:,node,33564,31696,7,
krailos|boat~temple:,node,33570,31696,7,
krailos|boat~temple:,node,33576,31696,7,
krailos|boat~temple:,node,33582,31696,7,
krailos|boat~temple:,node,33588,31696,7,
krailos|boat~temple:,node,33594,31696,7,
krailos|boat~temple:,node,33600,31696,7,
krailos|boat~temple:,node,33606,31696,7,
krailos|boat~temple:,node,33612,31695,7,
krailos|boat~temple:,node,33618,31694,7,
krailos|boat~temple:,node,33619,31688,7,
krailos|boat~temple:,node,33625,31685,7,
krailos|boat~temple:,node,33630,31679,7,
krailos|boat~temple:,node,33636,31674,7,
krailos|boat~temple:,node,33640,31668,7,
krailos|boat~temple:,node,33646,31665,7,
krailos|boat~temple:,node,33652,31662,7,
krailos|boat~temple:,node,33653,31656,7,
krailos|boat~temple:,stand,33657,31657,7,
krailos|boat~temple:,node,33657,31663,8,
krailos|boat~temple:,stand,33657,31665,8,

# --- krailos|boat~depot: (34 waypoints) ---
krailos|boat~depot:,stand,33492,31712,6,
krailos|boat~depot:,stand,33498,31710,6,
krailos|boat~depot:,stand,33504,31707,7,
krailos|boat~depot:,stand,33510,31706,7,
krailos|boat~depot:,stand,33516,31701,7,
krailos|boat~depot:,stand,33522,31699,7,
krailos|boat~depot:,stand,33528,31697,7,
krailos|boat~depot:,stand,33534,31696,7,
krailos|boat~depot:,stand,33540,31696,7,
