source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- roshamuul|temple~depot: (11 waypoints) ---
roshamuul|temple~depot:,stand,33513,32363,6,
roshamuul|temple~depot:,stand,33518,32363,6,
roshamuul|temple~depot:,node,33521,32369,7,
roshamuul|temple~depot:,node,33527,32372,7,
roshamuul|temple~depot:,node,33533,32376,7,
roshamuul|temple~depot:,node,33539,32376,7,
roshamuul|temple~depot:,node,33545,32376,7,
roshamuul|temple~depot:,node,33551,32376,7,
roshamuul|temple~depot:,node,33557,32375,7,
roshamuul|temple~depot:,stand,33558,32374,7,
roshamuul|temple~depot:,stand,33555,32377,6,

# --- roshamuul|depot~temple: (11 waypoints) ---
roshamuul|depot~temple:,stand,33555,32377,6,
roshamuul|depot~temple:,stand,33558,32374,6,
roshamuul|depot~temple:,node,33552,32375,7,
roshamuul|depot~temple:,node,33546,32375,7,
roshamuul|depot~temple:,node,33540,32375,7,
roshamuul|depot~temple:,node,33534,32376,7,
roshamuul|depot~temple:,node,33528,32373,7,
roshamuul|depot~temple:,node,33522,32370,7,
roshamuul|depot~temple:,node,33521,32364,7,
roshamuul|depot~temple:,stand,33518,32363,7,
roshamuul|depot~temple:,stand,33513,32363,6,

# --- roshamuul|temple~boat: (26 waypoints) ---
roshamuul|temple~boat:,stand,33513,32363,6,
roshamuul|temple~boat:,stand,33518,32363,6,
roshamuul|temple~boat:,node,33515,32357,7,
roshamuul|temple~boat:,stand,33513,32351,7,
roshamuul|temple~boat:,stand,33512,32349,6,
roshamuul|temple~boat:,stand,33512,32347,5,
roshamuul|temple~boat:,node,33514,32346,4,
roshamuul|temple~boat:,stand,33514,32345,4,
roshamuul|temple~boat:,node,32369,32241,7,
roshamuul|temple~boat:,node,32369,32240,7,
roshamuul|temple~boat:,node,32369,32234,7,
roshamuul|temple~boat:,node,32369,32228,7,
roshamuul|temple~boat:,node,32369,32222,7,
roshamuul|temple~boat:,node,32369,32216,7,
roshamuul|temple~boat:,node,32363,32216,7,
roshamuul|temple~boat:,node,32357,32216,7,
roshamuul|temple~boat:,node,32351,32216,7,
roshamuul|temple~boat:,node,32345,32216,7,
roshamuul|temple~boat:,node,32339,32216,7,
roshamuul|temple~boat:,node,32333,32216,7,
roshamuul|temple~boat:,node,32327,32216,7,
roshamuul|temple~boat:,stand,32321,32211,7,
roshamuul|temple~boat:,use_with,32321,32211,7,0
roshamuul|temple~boat:,stand,32321,32211,7,
roshamuul|temple~boat:,node,32315,32212,6,
roshamuul|temple~boat:,stand,32310,32211,6,

# --- roshamuul|boat~temple: (8 waypoints) ---
roshamuul|boat~temple:,stand,33513,32345,4,
roshamuul|boat~temple:,stand,33512,32347,4,
roshamuul|boat~temple:,stand,33512,32349,5,
roshamuul|boat~temple:,stand,33512,32351,6,
roshamuul|boat~temple:,node,33517,32357,7,
roshamuul|boat~temple:,node,33521,32363,7,
roshamuul|boat~temple:,stand,33518,32363,7,
roshamuul|boat~temple:,stand,33513,32363,6,

# --- roshamuul|boat~depot: (18 waypoints) ---
roshamuul|boat~depot:,stand,33513,32345,4,
roshamuul|boat~depot:,stand,33512,32347,4,
roshamuul|boat~depot:,stand,33512,32349,5,
roshamuul|boat~depot:,stand,33512,32351,6,
roshamuul|boat~depot:,node,33517,32357,7,
roshamuul|boat~depot:,node,33521,32363,7,
roshamuul|boat~depot:,stand,33518,32363,7,
roshamuul|boat~depot:,node,33513,32363,6,
roshamuul|boat~depot:,stand,33518,32363,6,
roshamuul|boat~depot:,node,33521,32369,7,
roshamuul|boat~depot:,node,33527,32372,7,
roshamuul|boat~depot:,node,33533,32376,7,
roshamuul|boat~depot:,node,33539,32376,7,
roshamuul|boat~depot:,node,33545,32376,7,
roshamuul|boat~depot:,node,33551,32376,7,
roshamuul|boat~depot:,node,33557,32375,7,
roshamuul|boat~depot:,stand,33558,32374,7,
roshamuul|boat~depot:,stand,33555,32377,6,

# --- roshamuul|depot~boat: (36 waypoints) ---
roshamuul|depot~boat:,stand,33555,32377,6,
roshamuul|depot~boat:,stand,33558,32374,6,
roshamuul|depot~boat:,node,33552,32375,7,
roshamuul|depot~boat:,node,33546,32375,7,
roshamuul|depot~boat:,node,33540,32375,7,
roshamuul|depot~boat:,node,33534,32376,7,
roshamuul|depot~boat:,node,33528,32373,7,
roshamuul|depot~boat:,node,33522,32370,7,
roshamuul|depot~boat:,node,33521,32364,7,
roshamuul|depot~boat:,stand,33518,32363,7,
roshamuul|depot~boat:,node,33513,32363,6,
roshamuul|depot~boat:,stand,33518,32363,6,
roshamuul|depot~boat:,node,33515,32357,7,
roshamuul|depot~boat:,stand,33513,32351,7,
roshamuul|depot~boat:,stand,33512,32349,6,
roshamuul|depot~boat:,stand,33512,32347,5,
roshamuul|depot~boat:,node,33514,32346,4,
roshamuul|depot~boat:,stand,33514,32345,4,
roshamuul|depot~boat:,node,32369,32241,7,
