source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- issavi|temple~depot: (7 waypoints) ---
issavi|temple~depot:,stand,33921,31477,5,
issavi|temple~depot:,node,33921,31483,5,
issavi|temple~depot:,stand,33921,31485,5,
issavi|temple~depot:,stand,33921,31488,6,
issavi|temple~depot:,node,33915,31489,7,
issavi|temple~depot:,node,33914,31483,7,
issavi|temple~depot:,stand,33918,31480,7,

# --- issavi|depot~boat: (22 waypoints) ---
issavi|depot~boat:,stand,33918,31480,7,
issavi|depot~boat:,node,33914,31489,7,
issavi|depot~boat:,node,33908,31491,7,
issavi|depot~boat:,node,33902,31491,7,
issavi|depot~boat:,node,33901,31497,7,
issavi|depot~boat:,node,33899,31503,7,
issavi|depot~boat:,node,33899,31509,7,
issavi|depot~boat:,stand,33900,31514,7,
issavi|depot~boat:,node,33894,31513,6,
issavi|depot~boat:,stand,33893,31513,6,
issavi|depot~boat:,node,33891,31507,7,
issavi|depot~boat:,node,33892,31501,7,
issavi|depot~boat:,node,33892,31495,7,
issavi|depot~boat:,node,33892,31489,7,
issavi|depot~boat:,node,33892,31483,7,
issavi|depot~boat:,node,33892,31477,7,
issavi|depot~boat:,stand,33893,31471,7,
issavi|depot~boat:,use_with,33894,31470,7,0
issavi|depot~boat:,stand,33894,31470,7,
issavi|depot~boat:,node,33900,31471,6,
issavi|depot~boat:,node,33901,31465,6,
issavi|depot~boat:,stand,33901,31463,6,

# --- issavi|boat~temple: (22 waypoints) ---
issavi|boat~temple:,stand,33901,31463,6,
issavi|boat~temple:,node,33901,31471,6,
issavi|boat~temple:,node,33895,31470,6,
issavi|boat~temple:,stand,33894,31470,6,
issavi|boat~temple:,node,33893,31476,7,
issavi|boat~temple:,node,33893,31482,7,
issavi|boat~temple:,node,33893,31488,7,
issavi|boat~temple:,node,33893,31494,7,
issavi|boat~temple:,node,33893,31500,7,
issavi|boat~temple:,node,33892,31506,7,
issavi|boat~temple:,node,33891,31512,7,
issavi|boat~temple:,stand,33893,31512,7,
issavi|boat~temple:,node,33899,31512,6,
issavi|boat~temple:,stand,33900,31512,6,
issavi|boat~temple:,node,33899,31506,7,
issavi|boat~temple:,node,33900,31500,7,
issavi|boat~temple:,node,33901,31494,7,
issavi|boat~temple:,node,33907,31491,7,
issavi|boat~temple:,node,33913,31489,7,
issavi|boat~temple:,node,33914,31483,7,
issavi|boat~temple:,node,33920,31482,7,
issavi|boat~temple:,stand,33920,31480,7,

# --- issavi|depot~temple: (8 waypoints) ---
issavi|depot~temple:,stand,33920,31480,7,
issavi|depot~temple:,node,33914,31482,7,
issavi|depot~temple:,node,33913,31488,7,
issavi|depot~temple:,node,33919,31490,7,
issavi|depot~temple:,stand,33922,31488,7,
issavi|depot~temple:,stand,33922,31485,6,
issavi|depot~temple:,node,33922,31479,5,
issavi|depot~temple:,stand,33921,31477,5,

# --- issavi|boat~depot: (29 waypoints) ---
issavi|boat~depot:,stand,33901,31463,6,
issavi|boat~depot:,stand,33901,31471,6,
issavi|boat~depot:,stand,33895,31470,6,
issavi|boat~depot:,stand,33894,31470,6,
issavi|boat~depot:,stand,33893,31476,7,
issavi|boat~depot:,stand,33893,31482,7,
issavi|boat~depot:,stand,33893,31488,7,
issavi|boat~depot:,stand,33893,31494,7,
issavi|boat~depot:,stand,33893,31500,7,
issavi|boat~depot:,stand,33892,31506,7,
issavi|boat~depot:,stand,33891,31512,7,
issavi|boat~depot:,stand,33893,31512,7,
issavi|boat~depot:,stand,33899,31512,6,
issavi|boat~depot:,stand,33900,31512,6,
issavi|boat~depot:,stand,33899,31506,7,
issavi|boat~depot:,stand,33900,31500,7,
issavi|boat~depot:,stand,33901,31494,7,
issavi|boat~depot:,stand,33907,31491,7,
issavi|boat~depot:,stand,33913,31489,7,
issavi|boat~depot:,stand,33914,31483,7,
issavi|boat~depot:,stand,33920,31482,7,
issavi|boat~depot:,stand,33920,31480,7,
issavi|boat~depot:,stand,33921,31477,5,
issavi|boat~depot:,stand,33921,31483,5,
issavi|boat~depot:,stand,33921,31485,5,
issavi|boat~depot:,stand,33921,31488,6,
issavi|boat~depot:,stand,33915,31489,7,
issavi|boat~depot:,stand,33914,31483,7,
issavi|boat~depot:,stand,33918,31480,7,
