source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- feyrist|temple~boat: (31 waypoints) ---
feyrist|temple~boat:,stand,33490,32221,7,
feyrist|temple~boat:,node,33496,32222,7,
feyrist|temple~boat:,node,33502,32222,7,
feyrist|temple~boat:,node,33508,32222,7,
feyrist|temple~boat:,node,33514,32220,7,
feyrist|temple~boat:,node,33520,32220,7,
feyrist|temple~boat:,node,33526,32218,7,
feyrist|temple~boat:,node,33532,32218,7,
feyrist|temple~boat:,node,33538,32214,7,
feyrist|temple~boat:,stand,33539,32209,7,
feyrist|temple~boat:,use_with,33539,32208,7,0
feyrist|temple~boat:,node,33539,32209,7,
feyrist|temple~boat:,stand,32971,32228,7,shrine_return:2
feyrist|temple~boat:,node,32368,32242,6,
feyrist|temple~boat:,node,32362,32242,6,
feyrist|temple~boat:,stand,32361,32243,6,
feyrist|temple~boat:,node,32367,32238,7,
feyrist|temple~boat:,node,32368,32232,7,
feyrist|temple~boat:,node,32368,32226,7,
feyrist|temple~boat:,node,32368,32220,7,
feyrist|temple~boat:,node,32362,32215,7,
feyrist|temple~boat:,node,32356,32215,7,
feyrist|temple~boat:,node,32350,32215,7,
feyrist|temple~boat:,node,32344,32215,7,
feyrist|temple~boat:,node,32338,32215,7,
feyrist|temple~boat:,node,32332,32215,7,
feyrist|temple~boat:,stand,32326,32215,7,
feyrist|temple~boat:,use_with,32321,32211,7,0
feyrist|temple~boat:,stand,32321,32212,7,
feyrist|temple~boat:,node,32315,32212,6,
feyrist|temple~boat:,stand,32310,32211,6,

# --- feyrist|boat~temple: (27 waypoints) ---
feyrist|boat~temple:,stand,32310,32211,6,
feyrist|boat~temple:,stand,32321,32211,6,
feyrist|boat~temple:,node,32327,32214,7,
feyrist|boat~temple:,node,32333,32215,7,
feyrist|boat~temple:,node,32339,32216,7,
feyrist|boat~temple:,node,32345,32216,7,
feyrist|boat~temple:,node,32351,32216,7,
feyrist|boat~temple:,node,32357,32216,7,
feyrist|boat~temple:,node,32363,32217,7,
feyrist|boat~temple:,node,32365,32223,7,
feyrist|boat~temple:,node,32365,32229,7,
feyrist|boat~temple:,node,32367,32235,7,
feyrist|boat~temple:,node,32364,32241,7,
feyrist|boat~temple:,stand,32361,32243,7,
feyrist|boat~temple:,stand,32360,32239,6,
feyrist|boat~temple:,stand,32973,32227,7,
feyrist|boat~temple:,use_with,32973,32226,7,3032
feyrist|boat~temple:,node,33539,32209,7,
feyrist|boat~temple:,node,33533,32211,7,
feyrist|boat~temple:,node,33527,32212,7,
feyrist|boat~temple:,node,33521,32213,7,
feyrist|boat~temple:,node,33515,32214,7,
feyrist|boat~temple:,node,33509,32218,7,
feyrist|boat~temple:,node,33503,32220,7,
feyrist|boat~temple:,node,33497,32221,7,
feyrist|boat~temple:,node,33491,32226,7,
feyrist|boat~temple:,stand,33490,32221,7,

# --- feyrist|temple~depot: (5 waypoints) ---
feyrist|temple~depot:,stand,33490,32221,7,
feyrist|temple~depot:,use_with,33488,32220,7,0
feyrist|temple~depot:,stand,33489,32221,7,
feyrist|temple~depot:,use_with,33489,32223,6,0
feyrist|temple~depot:,stand,33488,32222,6,

# --- feyrist|depot~temple: (6 waypoints) ---
feyrist|depot~temple:,stand,33489,32224,5,
feyrist|depot~temple:,stand,33489,32223,5,
feyrist|depot~temple:,node,33488,32220,6,
feyrist|depot~temple:,node,33489,32221,6,
feyrist|depot~temple:,stand,33488,32220,6,
feyrist|depot~temple:,stand,33488,32220,7,

# --- feyrist|boat~depot: (32 waypoints) ---
feyrist|boat~depot:,stand,32310,32211,6,
feyrist|boat~depot:,stand,32321,32211,6,
feyrist|boat~depot:,stand,32327,32214,7,
feyrist|boat~depot:,stand,32333,32215,7,
feyrist|boat~depot:,stand,32339,32216,7,
feyrist|boat~depot:,stand,32345,32216,7,
feyrist|boat~depot:,stand,32351,32216,7,
feyrist|boat~depot:,stand,32357,32216,7,
feyrist|boat~depot:,stand,32363,32217,7,
feyrist|boat~depot:,stand,32365,32223,7,
feyrist|boat~depot:,stand,32365,32229,7,
feyrist|boat~depot:,stand,32367,32235,7,
feyrist|boat~depot:,stand,32364,32241,7,
feyrist|boat~depot:,stand,32361,32243,7,
feyrist|boat~depot:,stand,32360,32239,6,
feyrist|boat~depot:,stand,32973,32227,7,
feyrist|boat~depot:,use_with,32973,32226,7,3032
feyrist|boat~depot:,stand,33539,32209,7,
feyrist|boat~depot:,stand,33533,32211,7,
feyrist|boat~depot:,stand,33527,32212,7,
feyrist|boat~depot:,stand,33521,32213,7,
feyrist|boat~depot:,stand,33515,32214,7,
feyrist|boat~depot:,stand,33509,32218,7,
feyrist|boat~depot:,stand,33503,32220,7,
feyrist|boat~depot:,stand,33497,32221,7,
feyrist|boat~depot:,stand,33491,32226,7,
feyrist|boat~depot:,stand,33490,32221,7,
feyrist|boat~depot:,stand,33490,32221,7,
feyrist|boat~depot:,use_with,33488,32220,7,0
feyrist|boat~depot:,stand,33489,32221,7,
feyrist|boat~depot:,use_with,33489,32223,6,0
feyrist|boat~depot:,stand,33488,32222,6,

# --- feyrist|depot~boat: (37 waypoints) ---
feyrist|depot~boat:,stand,33489,32224,5,
feyrist|depot~boat:,stand,33489,32223,5,
feyrist|depot~boat:,stand,33488,32220,6,
feyrist|depot~boat:,stand,33489,32221,6,
feyrist|depot~boat:,stand,33488,32220,6,
feyrist|depot~boat:,stand,33488,32220,7,
feyrist|depot~boat:,stand,33490,32221,7,
feyrist|depot~boat:,stand,33496,32222,7,
feyrist|depot~boat:,stand,33502,32222,7,
feyrist|depot~boat:,stand,33508,32222,7,
feyrist|depot~boat:,stand,33514,32220,7,
feyrist|depot~boat:,stand,33520,32220,7,
feyrist|depot~boat:,stand,33526,32218,7,
feyrist|depot~boat:,stand,33532,32218,7,
feyrist|depot~boat:,stand,33538,32214,7,
feyrist|depot~boat:,stand,33539,32209,7,
feyrist|depot~boat:,use_with,33539,32208,7,0
feyrist|depot~boat:,stand,33539,32209,7,
feyrist|depot~boat:,stand,32971,32228,7,shrine_return:2
feyrist|depot~boat:,stand,32368,32242,6,
feyrist|depot~boat:,stand,32362,32242,6,
feyrist|depot~boat:,stand,32361,32243,6,
feyrist|depot~boat:,stand,32367,32238,7,
feyrist|depot~boat:,stand,32368,32232,7,
feyrist|depot~boat:,stand,32368,32226,7,
feyrist|depot~boat:,stand,32368,32220,7,
