source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- ab'dendriel|temple~depot: (13 waypoints) ---
ab'dendriel|temple~depot:,stand,32732,31634,7,
ab'dendriel|temple~depot:,node,32726,31636,7,
ab'dendriel|temple~depot:,node,32720,31634,7,
ab'dendriel|temple~depot:,node,32715,31640,7,
ab'dendriel|temple~depot:,node,32709,31643,7,
ab'dendriel|temple~depot:,node,32703,31647,7,
ab'dendriel|temple~depot:,node,32698,31653,7,
ab'dendriel|temple~depot:,node,32697,31659,7,
ab'dendriel|temple~depot:,node,32691,31664,7,
ab'dendriel|temple~depot:,node,32689,31670,7,
ab'dendriel|temple~depot:,node,32688,31676,7,
ab'dendriel|temple~depot:,node,32686,31682,7,
ab'dendriel|temple~depot:,stand,32681,31686,7,

# --- ab'dendriel|depot~temple: (13 waypoints) ---
ab'dendriel|depot~temple:,stand,32681,31684,7,
ab'dendriel|depot~temple:,node,32683,31678,7,
ab'dendriel|depot~temple:,node,32689,31673,7,
ab'dendriel|depot~temple:,node,32689,31667,7,
ab'dendriel|depot~temple:,node,32695,31663,7,
ab'dendriel|depot~temple:,node,32697,31657,7,
ab'dendriel|depot~temple:,node,32700,31651,7,
ab'dendriel|depot~temple:,node,32706,31646,7,
ab'dendriel|depot~temple:,node,32712,31643,7,
ab'dendriel|depot~temple:,node,32715,31637,7,
ab'dendriel|depot~temple:,node,32721,31634,7,
ab'dendriel|depot~temple:,node,32727,31636,7,
ab'dendriel|depot~temple:,stand,32732,31634,7,

# --- ab'dendriel|depot~boat: (12 waypoints) ---
ab'dendriel|depot~boat:,stand,32681,31685,7,
ab'dendriel|depot~boat:,node,32687,31681,7,
ab'dendriel|depot~boat:,node,32693,31681,7,
ab'dendriel|depot~boat:,node,32699,31681,7,
ab'dendriel|depot~boat:,node,32705,31680,7,
ab'dendriel|depot~boat:,node,32708,31674,7,
ab'dendriel|depot~boat:,node,32714,31669,7,
ab'dendriel|depot~boat:,stand,32720,31669,7,
ab'dendriel|depot~boat:,ladder,32722,31669,7,
ab'dendriel|depot~boat:,node,32723,31670,6,
ab'dendriel|depot~boat:,node,32728,31669,6,
ab'dendriel|depot~boat:,stand,32734,31668,6,

# --- ab'dendriel|boat~depot: (11 waypoints) ---
ab'dendriel|boat~depot:,stand,32734,31668,6,
ab'dendriel|boat~depot:,node,32728,31668,6,
ab'dendriel|boat~depot:,stand,32722,31669,6,
ab'dendriel|boat~depot:,node,32716,31669,7,
ab'dendriel|boat~depot:,node,32710,31669,7,
ab'dendriel|boat~depot:,node,32707,31675,7,
ab'dendriel|boat~depot:,node,32704,31681,7,
ab'dendriel|boat~depot:,node,32698,31681,7,
ab'dendriel|boat~depot:,node,32692,31681,7,
ab'dendriel|boat~depot:,node,32686,31681,7,
ab'dendriel|boat~depot:,stand,32681,31685,7,
