source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- kazordoon|temple~depot: (19 waypoints) ---
kazordoon|temple~depot:,stand,32649,31925,11,
kazordoon|temple~depot:,node,32648,31925,11,
kazordoon|temple~depot:,node,32642,31925,11,
kazordoon|temple~depot:,node,32636,31925,11,
kazordoon|temple~depot:,node,32630,31925,11,
kazordoon|temple~depot:,node,32624,31925,11,
kazordoon|temple~depot:,node,32618,31925,11,
kazordoon|temple~depot:,stand,32613,31925,11,
kazordoon|temple~depot:,node,32607,31924,10,
kazordoon|temple~depot:,stand,32605,31920,10,
kazordoon|temple~depot:,node,32611,31920,9,
kazordoon|temple~depot:,stand,32613,31921,9,
kazordoon|temple~depot:,node,32619,31922,8,
kazordoon|temple~depot:,node,32625,31922,8,
kazordoon|temple~depot:,node,32631,31922,8,
kazordoon|temple~depot:,node,32637,31922,8,
kazordoon|temple~depot:,node,32643,31921,8,
kazordoon|temple~depot:,node,32649,31916,8,
kazordoon|temple~depot:,stand,32653,31911,8,

# --- kazordoon|depot~temple: (19 waypoints) ---
kazordoon|depot~temple:,stand,32653,31911,8,
kazordoon|depot~temple:,node,32643,31916,8,
kazordoon|depot~temple:,node,32637,31917,8,
kazordoon|depot~temple:,node,32631,31917,8,
kazordoon|depot~temple:,node,32625,31920,8,
kazordoon|depot~temple:,node,32619,31922,8,
kazordoon|depot~temple:,node,32613,31922,8,
kazordoon|depot~temple:,stand,32613,31921,8,
kazordoon|depot~temple:,node,32607,31922,9,
kazordoon|depot~temple:,stand,32605,31920,9,
kazordoon|depot~temple:,node,32611,31924,10,
kazordoon|depot~temple:,stand,32613,31925,10,
kazordoon|depot~temple:,node,32619,31925,11,
kazordoon|depot~temple:,node,32625,31925,11,
kazordoon|depot~temple:,node,32631,31925,11,
kazordoon|depot~temple:,node,32637,31925,11,
kazordoon|depot~temple:,node,32643,31925,11,
kazordoon|depot~temple:,node,32649,31924,11,
kazordoon|depot~temple:,stand,32649,31925,11,

# --- kazordoon|boat~depot: (12 waypoints) ---
kazordoon|boat~depot:,stand,32658,31957,15,
kazordoon|boat~depot:,node,32658,31963,15,
kazordoon|boat~depot:,node,32664,31966,15,
kazordoon|boat~depot:,node,32666,31972,15,
kazordoon|boat~depot:,node,32672,31977,15,
kazordoon|boat~depot:,node,32678,31973,15,
kazordoon|boat~depot:,stand,32679,31974,15,
kazordoon|boat~depot:,use_with,32680,31974,15,0
kazordoon|boat~depot:,stand,32679,31974,15,
kazordoon|boat~depot:,node,32660,31903,8,
kazordoon|boat~depot:,node,32654,31903,8,
kazordoon|boat~depot:,stand,32652,31909,8,

# --- kazordoon|depot~boat: (10 waypoints) ---
kazordoon|depot~boat:,stand,32660,31901,8,
kazordoon|depot~boat:,use_with,32661,31901,8,0
kazordoon|depot~boat:,stand,32660,31901,8,
kazordoon|depot~boat:,node,32679,31976,15,
kazordoon|depot~boat:,node,32673,31977,15,
kazordoon|depot~boat:,node,32667,31978,15,
kazordoon|depot~boat:,node,32665,31972,15,
kazordoon|depot~boat:,node,32665,31966,15,
kazordoon|depot~boat:,node,32659,31964,15,
kazordoon|depot~boat:,stand,32659,31958,15,

# --- kazordoon|carpet~depot: (11 waypoints) ---
kazordoon|carpet~depot:,stand,32588,31941,0,
kazordoon|carpet~depot:,node,32582,31939,0,
kazordoon|carpet~depot:,node,32579,31933,0,
kazordoon|carpet~depot:,stand,32578,31929,0,
kazordoon|carpet~depot:,use_with,32577,31928,0,0
kazordoon|carpet~depot:,stand,32578,31929,0,
kazordoon|carpet~depot:,node,32616,31900,9,
kazordoon|carpet~depot:,node,32610,31902,9,
kazordoon|carpet~depot:,stand,32604,31903,9,
kazordoon|carpet~depot:,use_with,32604,31904,9,0
kazordoon|carpet~depot:,stand,32604,31903,9,

# --- kazordoon|depot~carpet: (11 waypoints) ---
kazordoon|depot~carpet:,stand,32659,31902,8,
kazordoon|depot~carpet:,use_with,32658,31901,8,0
kazordoon|depot~carpet:,stand,32659,31902,8,
kazordoon|depot~carpet:,node,32606,31903,9,
kazordoon|depot~carpet:,stand,32612,31902,9,
kazordoon|depot~carpet:,use_with,32617,31899,9,0
kazordoon|depot~carpet:,stand,32616,31900,9,
kazordoon|depot~carpet:,node,32578,31929,0,
kazordoon|depot~carpet:,node,32579,31935,0,
kazordoon|depot~carpet:,node,32585,31941,0,
kazordoon|depot~carpet:,stand,32588,31941,0,
