source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- thais|boat~boat: (2 waypoints) ---
thais|boat~boat:,node,32310,32211,6,
thais|boat~boat:,stand,32310,32211,6,

# --- thais|bank~tools: (9 waypoints) ---
thais|bank~tools:,node,32345,32221,7,
thais|bank~tools:,node,32346,32216,7,
thais|bank~tools:,node,32353,32215,7,
thais|bank~tools:,node,32360,32215,7,
thais|bank~tools:,node,32367,32215,7,
thais|bank~tools:,node,32368,32210,7,
thais|bank~tools:,node,32369,32201,7,
thais|bank~tools:,node,32375,32200,7,
thais|bank~tools:,stand,32375,32200,7,

# --- thais|tools~depot: (9 waypoints) ---
thais|tools~depot:,node,32369,32201,7,
thais|tools~depot:,node,32368,32210,7,
thais|tools~depot:,node,32367,32215,7,
thais|tools~depot:,node,32360,32215,7,
thais|tools~depot:,node,32353,32215,7,
thais|tools~depot:,node,32346,32216,7,
thais|tools~depot:,node,32346,32224,7,
thais|tools~depot:,node,32349,32228,7,
thais|tools~depot:,stand,32349,32228,7,

# --- thais|north.gate~boat: (16 waypoints) ---
thais|north.gate~boat:,node,32368,32187,7,
thais|north.gate~boat:,node,32368,32194,7,
thais|north.gate~boat:,node,32368,32201,7,
thais|north.gate~boat:,node,32368,32208,7,
thais|north.gate~boat:,node,32368,32215,7,
thais|north.gate~boat:,node,32361,32215,7,
thais|north.gate~boat:,node,32354,32215,7,
thais|north.gate~boat:,node,32347,32215,7,
thais|north.gate~boat:,node,32340,32215,7,
thais|north.gate~boat:,node,32333,32215,7,
thais|north.gate~boat:,node,32326,32215,7,
thais|north.gate~boat:,node,32321,32211,7,
thais|north.gate~boat:,ladder,32321,32211,7,
thais|north.gate~boat:,node,32316,32212,6,
thais|north.gate~boat:,node,32310,32211,6,
thais|north.gate~boat:,stand,32310,32211,6,

# --- thais|south.gate~boat: (13 waypoints) ---
thais|south.gate~boat:,node,32342,32275,7,
thais|south.gate~boat:,node,32338,32272,7,
thais|south.gate~boat:,node,32338,32262,7,
