source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- venore|boat~boat: (2 waypoints) ---
venore|boat~boat:,node,32955,32022,6,
venore|boat~boat:,stand,32955,32022,6,

# --- venore|east.gate~boat: (1 waypoints) ---
venore|east.gate~boat:,node,33004,32100,7,

# --- venore|bank~tools: (23 waypoints) ---
venore|bank~tools:,node,33012,32053,6,
venore|bank~tools:,node,33005,32053,6,
venore|bank~tools:,node,32998,32053,6,
venore|bank~tools:,node,32991,32053,6,
venore|bank~tools:,node,32984,32053,6,
venore|bank~tools:,node,32977,32053,6,
venore|bank~tools:,node,32970,32053,6,
venore|bank~tools:,node,32963,32053,6,
venore|bank~tools:,node,32956,32053,6,
venore|bank~tools:,node,32949,32053,6,
venore|bank~tools:,node,32942,32053,6,
venore|bank~tools:,node,32934,32053,6,
venore|bank~tools:,node,32927,32053,6,
venore|bank~tools:,node,32919,32053,6,
venore|bank~tools:,node,32915,32056,6,
venore|bank~tools:,node,32907,32056,6,
venore|bank~tools:,node,32898,32056,6,
venore|bank~tools:,node,32897,32064,6,
venore|bank~tools:,node,32897,32073,6,
venore|bank~tools:,node,32897,32082,6,
venore|bank~tools:,node,32892,32082,6,
venore|bank~tools:,node,32888,32086,6,
venore|bank~tools:,stand,32888,32086,6,

# --- venore|tools~depot: (25 waypoints) ---
venore|tools~depot:,node,32892,32082,6,
venore|tools~depot:,node,32897,32082,6,
venore|tools~depot:,node,32897,32073,6,
venore|tools~depot:,node,32897,32064,6,
venore|tools~depot:,node,32898,32056,6,
venore|tools~depot:,node,32907,32056,6,
venore|tools~depot:,node,32915,32056,6,
venore|tools~depot:,node,32919,32053,6,
venore|tools~depot:,node,32927,32053,6,
venore|tools~depot:,node,32934,32053,6,
venore|tools~depot:,node,32942,32053,6,
venore|tools~depot:,node,32949,32053,6,
venore|tools~depot:,node,32956,32053,6,
venore|tools~depot:,node,32963,32053,6,
venore|tools~depot:,node,32970,32053,6,
venore|tools~depot:,node,32977,32053,6,
venore|tools~depot:,node,32984,32053,6,
venore|tools~depot:,node,32991,32053,6,
venore|tools~depot:,node,32998,32053,6,
venore|tools~depot:,node,33005,32053,6,
venore|tools~depot:,node,33012,32053,6,
venore|tools~depot:,node,33019,32058,6,
venore|tools~depot:,stand,33020,32059,6,
venore|tools~depot:,node,33018,32056,7,
venore|tools~depot:,stand,33018,32056,7,

# --- venore|soft.boots~boat: (10 waypoints) ---
venore|soft.boots~boat:,node,32949,32099,6,
venore|soft.boots~boat:,node,32954,32093,6,
venore|soft.boots~boat:,node,32954,32083,6,
venore|soft.boots~boat:,node,32954,32073,6,
venore|soft.boots~boat:,node,32954,32063,6,
venore|soft.boots~boat:,node,32954,32053,6,
venore|soft.boots~boat:,node,32954,32043,6,
venore|soft.boots~boat:,node,32955,32031,6,
venore|soft.boots~boat:,node,32955,32022,6,
