level,vocation,slot_head,slot_armor,slot_legs,slot_feet,slot_right,slot_left,slot_backpack
1,1,3365,3388,3363,3555,17111,3423,2854
1,2,3365,3388,3363,3555,17111,3423,2854
1,3,3365,3366,3363,3555,3287,3423,2854
1,4,3365,3366,3363,3555,3284,3423,2854
2,1,3365,3388,3363,3555,17111,3423,2854
2,2,3365,3388,3363,3555,17111,3423,2854
2,3,3365,3366,3363,3555,3287,3423,2854
2,4,3365,3366,3363,3555,3284,3423,2854
3,1,3365,3388,3363,3555,17111,3423,2854
3,2,3365,3388,3363,3555,17111,3423,2854
3,3,3365,3366,3363,3555,3287,3423,2854
3,4,3365,3366,3363,3555,3284,3423,2854
4,1,3365,3388,3363,3555,17111,3423,2854
4,2,3365,3388,3363,3555,17111,3423,2854
4,3,3365,3366,3363,3555,3287,3423,2854
4,4,3365,3366,3363,3555,3284,3423,2854
5,1,3365,3388,3363,3555,17111,3423,2854
5,2,3365,3388,3363,3555,17111,3423,2854
5,3,3365,3366,3363,3555,3287,3423,2854
5,4,3365,3366,3363,3555,3284,3423,2854
6,1,3365,3388,3363,3555,3074,3423,2854
6,2,3365,3388,3363,3555,3066,3423,2854
6,3,3365,3366,3363,3555,3287,3423,2854
6,4,3365,3366,3363,3555,3284,3423,2854
7,1,3365,3388,3363,3555,3074,3423,2854
7,2,3365,3388,3363,3555,3066,3423,2854
7,3,3365,3366,3363,3555,3287,3423,2854
7,4,3365,3366,3363,3555,3284,3423,2854
8,1,3365,3388,3363,3555,3074,3423,2854
8,2,3365,3388,3363,3555,3066,3423,2854
8,3,3365,3366,3363,3555,3287,3423,2854
8,4,3365,3366,3363,3555,3284,3423,2854
9,1,3365,3388,3363,3555,3074,3423,2854
9,2,3365,3388,3363,3555,3066,3423,2854
9,3,3365,3366,3363,3555,3287,3423,2854
9,4,3365,3366,3363,3555,3284,3423,2854
10,1,3365,3388,3363,3555,3074,3423,2854
10,2,3365,3388,3363,3555,3066,3423,2854
10,3,3365,3366,3363,3555,3287,3423,2854
10,4,3365,3366,3363,3555,3284,3423,2854
11,1,3365,3388,3363,3555,3074,3423,2854
11,2,3365,3388,3363,3555,3066,3423,2854
11,3,3365,3366,3363,3555,3287,3423,2854
11,4,3365,3366,3363,3555,3284,3423,2854
12,1,3365,3388,3363,3555,3074,3423,2854
12,2,3365,3388,3363,3555,3066,3423,2854
12,3,3365,3366,3363,3555,3287,3423,2854
12,4,3365,3366,3363,3555,3284,3423,2854
13,1,3365,3388,3363,3555,3075,3423,2854
13,2,3365,3388,3363,3555,3070,3423,2854
13,3,3365,3366,3363,3555,3287,3423,2854
13,4,3365,3366,3363,3555,3284,3423,2854
14,1,3365,3388,3363,3555,3075,3423,2854
14,2,3365,3388,3363,3555,3070,3423,2854
14,3,3365,3366,3363,3555,3287,3423,2854
14,4,3365,3366,3363,3555,3284,3423,2854
15,1,3365,3388,3363,3555,3075,3423,2854
15,2,3365,3388,3363,3555,3070,3423,2854
15,3,3365,3366,3363,3555,3287,3423,2854
15,4,3365,3366,3363,3555,3284,3423,2854
16,1,3365,3388,3363,3555,3075,3423,2854
16,2,3365,3388,3363,3555,3070,3423,2854
16,3,3365,3366,3363,3555,3287,3423,2854
16,4,3365,3366,3363,3555,3284,3423,2854
17,1,3365,3388,3363,3555,3075,3423,2854
17,2,3365,3388,3363,3555,3070,3423,2854
17,3,3365,3366,3363,3555,3287,3423,2854
17,4,3365,3366,3363,3555,3284,3423,2854
18,1,3365,3388,3363,3555,3075,3423,2854
18,2,3365,3388,3363,3555,3070,3423,2854
18,3,3365,3366,3363,3555,3287,3423,2854
18,4,3365,3366,3363,3555,3284,3423,2854
19,1,3365,3388,3363,3555,3072,3423,2854
19,2,3365,3388,3363,3555,3069,3423,2854
19,3,3365,3366,3363,3555,3287,3423,2854
19,4,3365,3366,3363,3555,3284,3423,2854
20,1,3365,3388,3363,3555,3072,3423,2854
20,2,3365,3388,3363,3555,3069,3423,2854
20,3,3365,3366,3363,3555,3347,3423,2854
20,4,3365,3366,3363,3555,3284,3423,2854
21,1,3365,3388,3363,3555,3072,3423,2854
21,2,3365,3388,3363,3555,3069,3423,2854
21,3,3365,3366,3363,3555,3347,3423,2854
21,4,3365,3366,3363,3555,3284,3423,2854
22,1,3365,3388,3363,3555,3072,3423,2854
22,2,3365,3388,3363,3555,3069,3423,2854
22,3,3365,3366,3363,3555,3347,3423,2854
22,4,3365,3366,3363,3555,3284,3423,2854
23,1,3365,3388,3363,3555,3072,3423,2854
23,2,3365,3388,3363,3555,3069,3423,2854
23,3,3365,3366,3363,3555,3347,3423,2854
23,4,3365,3366,3363,3555,3284,3423,2854
24,1,3365,3388,3363,3555,3072,3423,2854
24,2,3365,3388,3363,3555,3069,3423,2854
24,3,3365,3366,3363,3555,3347,3423,2854
24,4,3365,3366,3363,3555,3284,3423,2854
25,1,3365,3388,3363,3555,3072,3423,2854
25,2,3365,3388,3363,3555,3069,3423,2854
25,3,3365,3366,3363,3555,7378,3423,2854
25,4,3365,3366,3363,3555,3284,3423,2854
26,1,3365,3388,3363,3555,3073,3423,2854
26,2,3365,3388,3363,3555,3065,3423,2854
26,3,3365,3366,3363,3555,7378,3423,2854
26,4,3365,3366,3363,3555,3284,3423,2854
27,1,3365,3388,3363,3555,3073,3423,2854
27,2,3365,3388,3363,3555,3065,3423,2854
27,3,3365,3366,3363,3555,7378,3423,2854
27,4,3365,3366,3363,3555,3284,3423,2854
28,1,3365,3388,3363,3555,3073,3423,2854
28,2,3365,3388,3363,3555,3065,3423,2854
28,3,3365,3366,3363,3555,7378,3423,2854
28,4,3365,3366,3363,3555,3284,3423,2854
29,1,3365,3388,3363,3555,3073,3423,2854
29,2,3365,3388,3363,3555,3065,3423,2854
29,3,3365,3366,3363,3555,7378,3423,2854
29,4,3365,3366,3363,3555,3284,3423,2854
30,1,3365,3388,3363,3555,3073,3423,2854
30,2,3365,3388,3363,3555,3065,3423,2854
30,3,3365,3366,3363,3555,7378,3423,2854
30,4,3365,3366,3363,3555,3284,3423,2854
31,1,3365,3388,3363,3555,3073,3423,2854
31,2,3365,3388,3363,3555,3065,3423,2854
31,3,3365,3366,3363,3555,7378,3423,2854
31,4,3365,3366,3363,3555,3284,3423,2854
32,1,3365,3388,3363,3555,3073,3423,2854
32,2,3365,3388,3363,3555,3065,3423,2854
32,3,3365,3366,3363,3555,7378,3423,2854
32,4,3365,3366,3363,3555,3284,3423,2854
33,1,3365,3388,3363,3555,3071,3423,2854
33,2,3365,3388,3363,3555,3067,3423,2854
33,3,3365,3366,3363,3555,7378,3423,2854
33,4,3365,3366,3363,3555,3284,3423,2854
34,1,3365,3388,3363,3555,3071,3423,2854
34,2,3365,3388,3363,3555,3067,3423,2854
34,3,3365,3366,3363,3555,7378,3423,2854
34,4,3365,3366,3363,3555,3284,3423,2854
35,1,3365,3388,3363,3555,3071,3423,2854
35,2,3365,3388,3363,3555,3067,3423,2854
35,3,3365,3366,3363,3555,7378,3423,2854
35,4,3365,3366,3363,3555,3284,3423,2854
36,1,3365,3388,3363,3555,3071,3423,2854
36,2,3365,3388,3363,3555,3067,3423,2854
36,3,3365,3366,3363,3555,7378,3423,2854
36,4,3365,3366,3363,3555,3284,3423,2854
37,1,3365,3388,3363,3555,3071,3423,2854
37,2,3365,3388,3363,3555,3067,3423,2854
37,3,3365,3366,3363,3555,7378,3423,2854
37,4,3365,3366,3363,3555,3284,3423,2854
38,1,3365,3388,3363,3555,3071,3423,2854
38,2,3365,3388,3363,3555,3067,3423,2854
38,3,3365,3366,3363,3555,7378,3423,2854
38,4,3365,3366,3363,3555,13987,,2854
39,1,3365,3388,3363,3555,3071,3423,2854
39,2,3365,3388,3363,3555,3067,3423,2854
39,3,3365,3366,3363,3555,7378,3423,2854
39,4,3365,3366,3363,3555,13987,,2854
40,1,3365,3388,3363,3555,3071,3423,2854
40,2,3365,3388,3363,3555,3067,3423,2854
40,3,3365,3366,3363,3555,7378,3423,2854
40,4,3365,3366,3363,3555,7386,,2854
41,1,3365,3388,3363,3555,8092,3423,2854
41,2,3365,3388,3363,3555,3067,3423,2854
41,3,3365,3366,3363,3555,7378,3423,2854
41,4,3365,3366,3363,3555,7386,,2854
42,1,3365,3388,3363,3555,8094,3423,2854
42,2,3365,3388,3363,3555,3067,3423,2854
42,3,3365,3366,3363,3555,7367,3423,2854
42,4,3365,3366,3363,3555,7386,,2854
43,1,3365,3388,3363,3555,8094,3423,2854
43,2,3365,3388,3363,3555,3067,3423,2854
43,3,3365,3366,3363,3555,7367,3423,2854
43,4,3365,3366,3363,3555,7386,,2854
44,1,3365,3388,3363,3555,8094,3423,2854
44,2,3365,3388,3363,3555,3067,3423,2854
44,3,3365,3366,3363,3555,7367,3423,2854
44,4,3365,3366,3363,3555,7386,,2854
45,1,3365,3388,3363,3555,8094,3423,2854
45,2,3365,3388,3363,3555,3067,3423,2854
45,3,3365,3366,3363,3555,7367,3423,2854
45,4,3365,3366,3363,3555,7402,,2854
46,1,3365,3388,3363,3555,8094,3423,2854
46,2,3365,3388,3363,3555,3067,3423,2854
46,3,3365,3366,3363,3555,7367,3423,2854
46,4,3365,3366,3363,3555,7402,,2854
47,1,3365,3388,3363,3555,8094,3423,2854
47,2,3365,3388,3363,3555,3067,3423,2854
47,3,3365,3366,3363,3555,7367,3423,2854
47,4,3365,3366,3363,3555,7402,,2854
48,1,3365,3388,3363,3555,8094,3423,2854
48,2,3365,3388,3363,3555,3067,3423,2854
48,3,3365,3366,3363,3555,7367,3423,2854
48,4,3365,3366,3363,3555,7402,,2854
49,1,3365,3388,3363,3555,8094,3423,2854
49,2,3365,3388,3363,3555,3067,3423,2854
49,3,3365,3366,3363,3555,7367,3423,2854
49,4,3365,3366,3363,3555,7402,,2854
50,1,3365,3388,3363,3555,8094,3423,2854
50,2,3365,3388,3363,3555,3067,3423,2854
50,3,3365,3366,3363,3555,7367,3423,2854
50,4,3365,3366,3363,3555,14043,,2854
51,1,3365,3388,3363,3555,8094,3423,2854
51,2,3365,3388,3363,3555,3067,3423,2854
51,3,3365,3366,3363,3555,7367,3423,2854
51,4,3365,3366,3363,3555,14043,,2854
52,1,3365,3388,3363,3555,8094,3423,2854
52,2,3365,3388,3363,3555,3067,3423,2854
52,3,3365,3366,3363,3555,7367,3423,2854
52,4,3365,3366,3363,3555,14043,,2854
