id,name,town_id,min_level,max_level,vocation_mask,keep_distance_ek,keep_distance_ms,keep_distance_ed,keep_distance_rp,enabled,is_quest,script_category,source,source_file,town_name,script_type,min_monsters
1,Bonelord Liberty Bay,14,25,100,4,0,3,3,3,1,0,hunt,import,,Liberty Bay,,0
2,Braindeath Port Hope,15,110,330,4,0,3,3,3,1,0,hunt,import,,Port Hope,,0
3,Buy Blessing,8,8,9999,3,0,3,3,3,0,1,quest,import,,Thais,,0
4,Amazon Tower Carlin,6,15,60,3,0,3,3,3,1,0,hunt,import,,Carlin,,0
5,Cormaya Werecave,11,200,350,4,0,3,3,3,1,0,hunt,import,,Cormaya,,0
6,Ankrahmun Cults -2,10,100,350,3,0,3,3,3,1,0,hunt,import,,Ankrahmun,,0
7,Dark Cathedral -2,9,60,180,8,0,3,3,3,1,0,hunt,import,,Venore,,0
8,Dawnport 0-8,2,0,200,15,0,3,3,3,1,0,hunt,import,,Dawnport,,0
9,Demon Hero Cave,11,100,700,15,0,3,3,3,1,0,hunt,import,,Edron,,0
10,Drefia Wyrms Advanced Lure,13,250,500,4,0,3,3,3,1,0,hunt,import,,Darashia,,0
11,Cults Edron Full,11,200,700,4,0,3,3,3,1,0,hunt,import,,Edron,,3
12,Edron Werecave,11,50,350,15,0,3,3,3,1,0,hunt,import,,Edron,,0
13,Elvenbane Ab'Dendriel,5,20,100,8,0,3,3,3,1,0,hunt,import,,Ab'Dendriel,,0
14,Shadowthorn Venore,9,20,100,3,0,3,3,3,1,0,hunt,import,,Venore,,0
15,Feyrist Dark Faun Cave,15,160,480,8,0,3,3,3,1,0,hunt,import,,Port Hope,,0
16,Feyrist Mountain,15,180,350,4,0,3,3,3,1,0,hunt,import,,Port Hope,,0
17,Feyrist Nightmare cave,15,150,500,4,0,3,3,3,1,0,hunt,import,,Port Hope,,0
18,Feyrist Nightmare cave -2,15,150,550,4,0,3,3,3,1,0,hunt,import,,Port Hope,,0
19,Forest Fury Stealth Ring,6,30,90,3,0,3,3,3,1,0,hunt,import,,Carlin,,0
20,Giant Spider Port Hope,15,100,300,8,0,3,3,3,1,0,hunt,import,,Port Hope,,0
21,Glooth Bandit East,20,200,600,4,0,3,3,3,1,0,hunt,import,,Rathleton,,0
22,Glooth Bandit South,20,200,600,4,0,3,3,3,1,0,hunt,import,,Rathleton,,0
23,Glooth Bandit West,20,200,600,4,0,3,3,3,1,0,hunt,import,,Rathleton,,0
24,Goblin Distance Train,5,8,300,15,0,3,3,3,1,0,hunt,import,,Ab'Dendriel,,0
25,Hero Fortress -1,11,180,350,4,0,3,3,3,1,0,hunt,import,,Edron,,0
26,Hero Fortress Box,11,100,500,15,0,3,3,3,1,0,hunt,import,,Edron,,0
27,Hero Old Fortress -2,11,250,600,4,0,3,3,3,1,0,hunt,import,,Edron,,3
