source_name,pos_x,pos_y,pos_z
Ab'Dendriel,32734,31668,6
Ankrahmun,33092,32883,6
Bounac,32346,32859,7
Carlin,32387,31820,6
Darashia,33289,32480,6
Edron,33175,31764,6
Edron Carpet,33193,31783,3
Farmine,33025,31552,10
Farmine Carpet,32983,31539,1
Feyrist,32310,32211,6
Gnomprona,33516,32856,14
Goroma,32161,32558,6
Issavi,33902,31462,6
Kazordoon,32660,31957,15
Kazordoon Carpet,32588,31941,0
Krailos,33493,31712,6
Liberty Bay,32285,32892,6
Marapur,33805,32767,2
Oramond,33479,31985,7
Port Hope,32527,32784,6
Rathleton,33479,31985,7
Roshamuul,33513,32345,4
Svargrond,32341,31108,6
Thais,32310,32210,6
Venore,32954,32022,6
Yalahar,32816,31272,6
