id	name	level	vocation	vocation_id	town_id
65001	Aldric Steelarm	8	knight	4	6
65002	Lyra Steelarm	9	knight	4	17
65003	Theron Steelarm	11	paladin	3	10
65004	Isolde Steelarm	13	druid	2	6
65005	Magnus Steelarm	15	knight	4	14
65006	Freya Steelarm	17	sorcerer	1	8
65007	Ragnar Steelarm	19	knight	4	22
65008	Astrid Steelarm	21	paladin	7	16
65009	Cedric Steelarm	23	druid	6	22
65010	Elara Steelarm	24	sorcerer	5	6
65011	Finn Steelarm	26	sorcerer	5	9
65012	Gwen Steelarm	28	druid	6	15
65013	Henrik Steelarm	30	druid	6	20
65014	Isla Steelarm	32	druid	6	14
65015	Jorik Steelarm	34	paladin	7	15
65016	Keira Steelarm	36	sorcerer	5	8
65017	Leander Steelarm	38	paladin	7	15
65018	Mira Steelarm	39	knight	8	11
65019	Nikolai Steelarm	41	paladin	7	14
65020	Ophelia Steelarm	43	knight	8	13
65021	Omiros Steelarm	45	sorcerer	5	17
65022	Borkent Steelarm	47	sorcerer	5	15
65023	Azir Steelarm	49	sorcerer	5	17
65024	Plaros Steelarm	51	knight	8	5
65025	Paublock Steelarm	53	druid	6	5
65026	Thadnemara Steelarm	54	sorcerer	5	20
65027	Pegui Steelarm	56	druid	6	11
65028	Nevintsild Steelarm	58	druid	6	8
65029	Tonguarik Steelarm	60	sorcerer	5	5
65030	Sveromesse Steelarm	62	sorcerer	5	22
65031	Ghta Steelarm	64	druid	6	16
65032	Seromady Steelarm	66	paladin	7	9
65033	Chran Steelarm	68	sorcerer	5	14
65034	Gnomedorbo Steelarm	69	sorcerer	5	22
65035	Wilisolani Steelarm	71	druid	6	22
65036	Foozorf Steelarm	73	druid	6	9
65037	Drodromes Steelarm	75	sorcerer	5	11
65038	Elance Steelarm	77	knight	8	14
65039	Cern Steelarm	79	druid	6	9
65040	Jorth Steelarm	81	sorcerer	5	20
65041	Carinus Steelarm	83	druid	6	15
65042	Gell Steelarm	84	sorcerer	5	17
65043	Mema Steelarm	86	druid	6	14
65044	Valkephenc Steelarm	88	paladin	7	16
65045	Gnom Steelarm	90	knight	8	13
65046	Bervion Steelarm	92	knight	8	10
65047	Nizzley Steelarm	94	paladin	7	20
65048	Jaeggy Steelarm	96	druid	6	13
65049	Lukeniess Steelarm	98	druid	6	13
65050	Borks Steelarm	100	druid	6	15
65051	Aldric Mistwalker	100	knight	8	16
65052	Lyra Mistwalker	101	druid	6	15
65053	Theron Mistwalker	102	druid	6	9
65054	Isolde Mistwalker	103	knight	8	6
65055	Magnus Mistwalker	104	druid	6	17
65056	Freya Mistwalker	105	sorcerer	5	5
65057	Ragnar Mistwalker	106	paladin	7	5
65058	Astrid Mistwalker	107	sorcerer	5	16
65059	Cedric Mistwalker	108	druid	6	20
65060	Elara Mistwalker	109	druid	6	13
65061	Finn Mistwalker	110	druid	6	22
65062	Gwen Mistwalker	111	paladin	7	9
65063	Henrik Mistwalker	112	druid	6	16
65064	Isla Mistwalker	113	druid	6	6
65065	Jorik Mistwalker	114	paladin	7	10
65066	Keira Mistwalker	115	knight	8	11
65067	Leander Mistwalker	116	paladin	7	16
65068	Mira Mistwalker	117	paladin	7	13
65069	Nikolai Mistwalker	118	druid	6	14
65070	Ophelia Mistwalker	119	druid	6	20
65071	Omiros Mistwalker	120	sorcerer	5	14
65072	Borkent Mistwalker	121	knight	8	15
65073	Azir Mistwalker	122	paladin	7	6
65074	Plaros Mistwalker	123	paladin	7	8
65075	Paublock Mistwalker	124	paladin	7	11
65076	Thadnemara Mistwalker	125	sorcerer	5	17
65077	Pegui Mistwalker	126	knight	8	5
65078	Nevintsild Mistwalker	127	sorcerer	5	6
65079	Tonguarik Mistwalker	128	druid	6	17
65080	Sveromesse Mistwalker	129	paladin	7	22
65081	Ghta Mistwalker	130	paladin	7	5
65082	Seromady Mistwalker	131	sorcerer	5	9
65083	Chran Mistwalker	132	druid	6	7
65084	Gnomedorbo Mistwalker	133	paladin	7	14
65085	Wilisolani Mistwalker	134	druid	6	11
65086	Foozorf Mistwalker	135	paladin	7	9
65087	Drodromes Mistwalker	136	knight	8	16
65088	Elance Mistwalker	137	druid	6	16
65089	Cern Mistwalker	138	druid	6	20
65090	Jorth Mistwalker	139	druid	6	6
65091	Carinus Mistwalker	140	knight	8	5
65092	Gell Mistwalker	141	druid	6	5
65093	Mema Mistwalker	142	paladin	7	22
65094	Valkephenc Mistwalker	143	druid	6	17
65095	Gnom Mistwalker	144	knight	8	8
65096	Bervion Mistwalker	145	sorcerer	5	14
65097	Nizzley Mistwalker	146	sorcerer	5	9
65098	Jaeggy Mistwalker	147	druid	6	6
65099	Lukeniess Mistwalker	148	paladin	7	13
65100	Borks Mistwalker	149	sorcerer	5	13
65101	Aldric Shadowbane	150	knight	8	8
65102	Lyra Shadowbane	151	paladin	7	13
65103	Theron Shadowbane	152	sorcerer	5	22
65104	Isolde Shadowbane	153	knight	8	17
65105	Magnus Shadowbane	154	paladin	7	10
