id	name	level	vocation	vocation_id	town_id	new_name
65001	Aldric Steelarm	8	knight	4	6	Grizzle Alyronia
65002	Lyra Steelarm	9	knight	4	17	Lyana Jadestone
65003	Theron Steelarm	11	paladin	3	10	Sever Heartspear
65004	Isolde Steelarm	13	druid	2	6	Galdon Whitehoof
65005	Magnus Steelarm	15	knight	4	14	Caeduum Ravenspire
65006	Freya Steelarm	17	sorcerer	1	8	Haedis Aran
65007	Ragnar Steelarm	19	knight	4	22	Mennet Dawntalon
65008	Astrid Steelarm	21	paladin	7	16	Lian Blackout
65009	Cedric Steelarm	23	druid	6	22	Broll Shadowfury
65010	Elara Steelarm	24	sorcerer	5	6	Lexington Purdue
65011	Finn Steelarm	26	sorcerer	5	9	Marryk Helhammer
65012	Gwen Steelarm	28	druid	6	15	Bale Greenhoof
65013	Henrik Steelarm	30	druid	6	20	Greiz Keller
65014	Isla Steelarm	32	druid	6	14	Brock Stonecrest
65015	Jorik Steelarm	34	paladin	7	15	Argus Azuregaze
65016	Keira Steelarm	36	sorcerer	5	8	Anastasia Beats
65017	Leander Steelarm	38	paladin	7	15	Sammuel Bloomhorn
65018	Mira Steelarm	39	knight	8	11	Kurdran Bloodhoof
65019	Nikolai Steelarm	41	paladin	7	14	Calindris Arcalus
65020	Ophelia Steelarm	43	knight	8	13	Giles2 Brightstar
65021	Omiros Steelarm	45	sorcerer	5	17	Ronin Brightdawn
65022	Borkent Steelarm	47	sorcerer	5	15	Huglar Starweaver
65023	Azir Steelarm	49	sorcerer	5	17	Varanis Iceshard
65024	Plaros Steelarm	51	knight	8	5	Holgar Darkstrider
65025	Paublock Steelarm	53	druid	6	5	Magrum Caydiem
65026	Thadnemara Steelarm	54	sorcerer	5	20	Dalar Arcshine
65027	Pegui Steelarm	56	druid	6	11	Bruto Althal
65028	Nevintsild Steelarm	58	druid	6	8	Hahna Emberhammer
65029	Tonguarik Steelarm	60	sorcerer	5	5	Thalyssra Windhammer
65030	Sveromesse Steelarm	62	sorcerer	5	22	Amano Blankheart
65031	Ghta Steelarm	64	druid	6	16	Tylos Yewshade
65032	Seromady Steelarm	66	paladin	7	9	Darahu Rezan
65033	Chran Steelarm	68	sorcerer	5	14	Zaldimar Wolfvale
65034	Gnomedorbo Steelarm	69	sorcerer	5	22	Valeria Anvilmar
65035	Wilisolani Steelarm	71	druid	6	22	Pyotr Carkad
65036	Foozorf Steelarm	73	druid	6	9	Malanys Kimble
65037	Drodromes Steelarm	75	sorcerer	5	11	Deino Voidwhisper
65038	Elance Steelarm	77	knight	8	14	Cairne Silverbreaker
65039	Cern Steelarm	79	druid	6	9	Muffinus Coalheart
65040	Jorth Steelarm	81	sorcerer	5	20	Adsila Greenpaw
65041	Carinus Steelarm	83	druid	6	15	Kage Brighthorn
65042	Gell Steelarm	84	sorcerer	5	17	Fen Boarsbane
65043	Mema Steelarm	86	druid	6	14	Lisandra Bearhide
65044	Valkephenc Steelarm	88	paladin	7	16	Malah Blazewing
65045	Gnom Steelarm	90	knight	8	13	Tarshaw Steelheart
65046	Bervion Steelarm	92	knight	8	10	Marduk Foehammer
65047	Nizzley Steelarm	94	paladin	7	20	Aeus Arnareth
65048	Jaeggy Steelarm	96	druid	6	13	Pontimer Palestar
65049	Lukeniess Steelarm	98	druid	6	13	Broan Abiectus
65050	Borks Steelarm	100	druid	6	15	Baristolth Stormcaller
65051	Aldric Mistwalker	100	knight	8	16	Fara Bloodwish
65052	Lyra Mistwalker	101	druid	6	15	Alhas Grimstrike
65053	Theron Mistwalker	102	druid	6	9	Askara Raventhorn
65054	Isolde Mistwalker	103	knight	8	6	Verstok Ashhammer
65055	Magnus Mistwalker	104	druid	6	17	Avara Steelbrand
65056	Freya Mistwalker	105	sorcerer	5	5	Nakeeta Bloodbane
65057	Ragnar Mistwalker	106	paladin	7	5	Ares Trueblade
65058	Astrid Mistwalker	107	sorcerer	5	16	Tundra Alturas
65059	Cedric Mistwalker	108	druid	6	20	Grillok Bloodwind
65060	Elara Mistwalker	109	druid	6	13	Kona Emberweaver
65061	Finn Mistwalker	110	druid	6	22	Denatharion Plainwalker
65062	Gwen Mistwalker	111	paladin	7	9	Larethor Brightmane
65063	Henrik Mistwalker	112	druid	6	16	Corvine Moonhorn
65064	Isla Mistwalker	113	druid	6	6	Sesebi Blackwolf
65065	Jorik Mistwalker	114	paladin	7	10	Raleigh VonZeldig
65066	Keira Mistwalker	115	knight	8	11	Alsudar Bonesplitter
65067	Leander Mistwalker	116	paladin	7	16	Arius Senturus
65068	Mira Mistwalker	117	paladin	7	13	Haranto Dimspirit
65069	Nikolai Mistwalker	118	druid	6	14	Altruis Wolfguard
65070	Ophelia Mistwalker	119	druid	6	20	Avelia Calhandro
65071	Omiros Mistwalker	120	sorcerer	5	14	Keela Skyflame
65072	Borkent Mistwalker	121	knight	8	15	Rofilian Neyrelle
65073	Azir Mistwalker	122	paladin	7	6	Trey Deathvale
65074	Plaros Mistwalker	123	paladin	7	8	Ashbury Shatterfury
65075	Paublock Mistwalker	124	paladin	7	11	Delgren Brightfrost
65076	Thadnemara Mistwalker	125	sorcerer	5	17	Traiborn Cinderpaw
65077	Pegui Mistwalker	126	knight	8	5	Juisheng Ashvale
65078	Nevintsild Mistwalker	127	sorcerer	5	6	Ursyn Mistbane
65079	Tonguarik Mistwalker	128	druid	6	17	Crawford Arcarrow
65080	Sveromesse Mistwalker	129	paladin	7	22	Androk Bloodmourn
65081	Ghta Mistwalker	130	paladin	7	5	Alora Galewraith
65082	Seromady Mistwalker	131	sorcerer	5	9	Alaria Battlescar
65083	Chran Mistwalker	132	druid	6	7	Jannos Bloodfang
65084	Gnomedorbo Mistwalker	133	paladin	7	14	Asayza Crimsonvale
65085	Wilisolani Mistwalker	134	druid	6	11	Dareth Bartis
65086	Foozorf Mistwalker	135	paladin	7	9	Cona Astrandis
65087	Drodromes Mistwalker	136	knight	8	16	Durotan Clutchpop
65088	Elance Mistwalker	137	druid	6	16	Heralath Moontree
65089	Cern Mistwalker	138	druid	6	20	Gaivan Valestrider
65090	Jorth Mistwalker	139	druid	6	6	Baranka Blightbearer
65091	Carinus Mistwalker	140	knight	8	5	Ashleigh Rockmaul
65092	Gell Mistwalker	141	druid	6	5	Eivi Darkspark
